,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Phản ứng Way # 74 Tốc độ phản ứng: Mật độ,3:19
,,,,,,,Phản ứng Way # 75 Tốc độ phản ứng: Diện tích bề mặt,1:08
,,,,,,,Way # 76 hóa nhiệt / thu nhiệt / Entropy,1:27
,,,,,,,Way # 77 Bảng I,3:09
,,,,,,,Way # 77 Bảng I,1 câu hỏi
,,,,,,,Way # 78 nhiệt của phản ứng,1:59
,,,,,,,Way # 78 nhiệt của phản ứng,1 câu hỏi
,,,,,,,Way # 79 Biểu đồ năng niệm tiềm năng,1:29
,,,,,,,Way # 80 Chất xúc tác,1:58
,,,,,,,Way # 80 Chất xúc tác,1 câu hỏi
,,,,,,,Way # 81 Trạng thái cân bằng,1:25
,,,,,,,Way # 81 Trạng thái cân bằng,1 câu hỏi
,,,,,,Bài 14: Axít/Bazo (8 video),,
,,,,,,,Way # 82 Axít Arrhenius ,2:08
,,,,,,,Way # 82 Axít Arrhenius ,1 câu hỏi
,,,,,,,Way # 83 Cơ sở Arrhenius ,2:17
,,,,,,,Way # 84 Lý thuyết Axít-Bazo: Axít/Bazo,2:52
,,,,,,,Way # 84 Lý thuyết Axít-Bazo: Axít/Bazo,1 câu hỏi
,,,,,,,Way # 85 trung hòa,3:24
,,,,,,,Way # 85 trung hòa,1 câu hỏi
,,,,,,,Way # 86 Độ pH,3:25
,,,,,,,Way # 86 Độ pH,1 câu hỏi
,,,,,,,Way # 87 Bảng M,3:00
,,,,,,,Way # 87 Bảng M,1 câu hỏi
,,,,,,,Way # 88 Chuẩn độ,0:48
,,,,,,,Way # 88 Chuẩn độ,1 câu hỏi
,,,,,,,Way # 89 điện giải,1:28
,,,,,,,Way # 89 điện giải,1 câu hỏi
,,,,,,Bài 16: Hóa học điện tử (5 video),,
,,,,,,,Way # 90 Phản ứng REDOX,2:19
,,,,,,,Way # 90 Phản ứng REDOX,1 câu hỏi
,,,,,,,Way # 91 Hoạt động tương đối,2:24
,,,,,,,Way # 91 Hoạt động tương đối,1 câu hỏi
,,,,,,,Way # 92 Pin Voltaic,1:12
,,,,,,,Way # 92 Pin Voltaic,1 câu hỏi
,,,,,,,Way # 93 Pin Electrolytic,1:24
,,,,,,,Way # 93 Pin Electrolytic,1 câu hỏi
,,,,,,,Way # 94 Anode / Cathode,2:34
,,,,,,,Way # 94 Anode / Cathode,1 câu hỏi
,,,,,,Bài 16: Hóa học hữu cơ (6 video),,
,,,,,,,Way # 95 Hữu cơ,0:48
,,,,,,,Way # 95 Hữu cơ,1 câu hỏi
,,,,,,,Way # 96 Đồng đẳng,2:29
,,,,,,,Way # 96 Đồng đẳng,1 câu hỏi
,,,,,,,Way # 97 bão hòa Hydrocarbons / không bão hòa Hydrocarbons,2:57
,,,,,,,Way # 97 bão hòa Hydrocarbons / không bão hòa Hydrocarbons,1 câu hỏi
,,,,,,,Way # 98 nhóm chức năng hữu cơ,2:34
,,,,,,,Way # 98 nhóm chức năng hữu cơ,1 câu hỏi
,,,,,,,Way # 99 đồng phân,2:13
,,,,,,,Way # 99 đồng phân,1 câu hỏi
,,,,,,,Way # 100 phản ứng hữu cơ,1:14
,,,,,,,Phần kết luận,0:23
,,,,,,,Bạn có tham gia khóa Vật lý tiếp theo?,1:15
