,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,10. Lợi ích khóa học: Ôn tập đọc văn bản (lớp học trực tuyến),11:46
,,,,,,,11. Lợi ích khóa học Nghe-Hiểu: Kĩ năng ghi chú,10:25
,,,,,,,12. Lợi ích khóa học: Hoàn thành bài thi Nói phần 3 ,2:29
,,,,,,,13. Lợi ích khóa học Viết: Hoàn thành 4 bài viết Hỗ Hợp và 4 bài viết Độc Lập,4 trang
,,,,,,,14. Lợi ích khóa học: Ôn tập toàn bộ các bài kiểm tra thử (4 phần),3:35
,,,,,,,15. Lợi ích khóa học: Bài kiểm tra đánh giá cá nhân 60 phút (trực tuyến),8:17
,,,,,,Phần 2: Tổng quan kì thi TOEFL iBT (giới thiệu về kì thi TOEFL iBT Exam),,
,,,,,,,16. Tổng quan chung về kì thi,7 trang
,,,,,,,17. Những điều căn bản cần biết về đăng kí ,5 trang
,,,,,,,18. Kết cấu và thang điểm của bài thi TOEFL,3 trang
,,,,,,,19. Nhìn chung về khóa học trực tuyến.,4 trang
,,,,,,,20. Giải pháp cho những vấn đề thường gặp khi tham gia khóa học,4 trang
,,,,,,,21. Những câu hỏi của học viên về những thông tin chung,1 trang
,,,,,,Phần 3: Đặc trưng bài thi TOEFL iBT,,
,,,,,,,22. Tổng quan về đặc trưng của bài thi,28:41:00
,,,,,,,23. Đặc trưng đề thi Đọc-Hiểu,5 trang
,,,,,,,24. Đặc tưng đáp án phần thi Đọc,1 trang
,,,,,,,25.  Đặc trưng đề thi phần Nghe đoạn hội thoại,5 trang
,,,,,,,26. Đặc trưng đề thi phần Nghe bài diễn thuyết,6 trang
,,,,,,,27. Đặc trưng đáp án phần thi Nghe,1 trang
,,,,,,,28. Đặc trưng bài thi Nói,11 trang
,,,,,,,29. Đặc trưng bài thi viết,4 trang
,,,,,,,30. Giới thiệu về phần Đọc-Hiểu bởi người hướng dẫn,3:56
,,,,,,,31. Lợi ích khóa học trực tuyến phần Đọc-Hiểu,6:47
,,,,,,Phần 4: Phần Đọc-Hiểu bài TOEFL iBT,,
,,,,,,,32. Lợi ích khóa học trực tuyến (PPT),12 trang
,,,,,,,33. Viện Khảo thí giáo dục Hoa Kỳ (Educational Testing Service - ETS) tạo ra câu hỏi và đáp án như thế nào: Hãy tư duy như người ra đề,11:06
,,,,,,,34. Giới thiệu,10:02
,,,,,,,35. Loại câu hỏi,3 trang
,,,,,,,36. Tổng quan,22:40
,,,,,,,37. Các câu hỏi 'bẫy' (Những mẹo khiến bạn chọn SAI đáp án),8:57
,,,,,,,38. Bài đọc 1 (đề thi thử cho học viên),36 trang
,,,,,,,39. Đánh giá bài đọc 1,1:01:07
,,,,,,,40. Bài đọc 2 và 3 (đề thi thử cho học viên),42 trang
,,,,,,,41. Đánh giá và phân tích bài đọc 2,53:22:00
,,,,,,,42. Đánh giá và phân tích bài đọc 3,37:05:00
,,,,,,,43. Bài đọc 4 (đề thi thử cho học viên),40 trang
,,,,,,,44. Đánh giá và phân tích bài đọc 4,40:34:00
,,,,,,,45. Áp dụng chiến thuật với đề thi thử,44 trang
,,,,,,,46. Bài tập: Tìm ra các câu hỏi 'bẫy',6:51
,,,,,,,47. Bài tập: Tự tạo bài đọc của riêng bạn,4 trang
,,,,,,,48. Bài đọc thêm 1 (Sử dụng chiến thuật),23 trang
,,,,,,,49. Bài đọc thêm 2,7 trang
,,,,,,,50. Bài đọc thêm 3.,10 trang
,,,,,,,51. Lớp học Đọc-Hiểu trực tuyến (video 1),23:49
,,,,,,,52. Lớp học Đọc-Hiểu trực tuyến (video 2),26:50:00
,,,,,,,53. Lớp học Đọc-Hiểu trực tuyến (video 3),3:53
,,,,,,,54. Lợi ích khóa học: Đánh giá các bài đọc (lớp học trực tuyến),11:46
,,,,,,Phần 5: Phần Nghe bài thi TOEFL iBT,,
,,,,,,,55. Giới thiệu,3:28
,,,,,,,56. Lợi ích khóa học,5:58
,,,,,,,57. Lợi ích thêm ,4:37
,,,,,,,58. ETS tạo ra câu hỏi và đáp án phần thi Nghe như thế nào: Hãy tư duy như người ra đề ,22:03
,,,,,,,59. Phần thi Nghe là gì và tại sao nó lại khó đến thế?,8:32
,,,,,,,60. Những điều không liên quan,2:51
,,,,,,,61. Nghe TOEFL iBT - nghe chủ động,6 trang
,,,,,,,62. Cách để cải thiện kĩ năng nghe,7:34
,,,,,,,63. Tổng quan phần Nghe,7:50
,,,,,,,64. Các chủ đề ,5:23
,,,,,,,65. Các dạng câu hỏi,3 trang
,,,,,,,66. Chiến thuật làm bài,8:28
,,,,,,,67. Các câu hỏi bẫy,8:57
,,,,,,,68. Kỹ thuật ghi chép khi làm bài,17:43
,,,,,,,69. Phương pháp ghi chép tốt nhất,25:31:00
,,,,,,,70. Ghi chép để hiểu được cấu trúc của bài nói,11 trang
,,,,,,,71. Các câu hỏi về ghi chép,3 trang
,,,,,,,72. Làm thế nào để biết được bài Nghe đang nói về điều gì đó quan trọng?,1 trang
,,,,,,,73. Bài tập ghi chép về đoạn hội thoại,6:17
,,,,,,,74. Bài tập ghi chép về bài diễn thuyết,13:57
,,,,,,,75. Quá trình trả lời (Cách mà ETS xác định câu hỏi và đáp án),8:28
,,,,,,,76. Bài luyện tập 1 (1 đoạn hội thoại và 2 bài diễn thuyết),40 trang
,,,,,,,77. Đánh giá bài luyện tập (đoạn hội thoại),19:51
,,,,,,,78. Đánh giá bài luyện tập (bài diễn thuyết 1),38:43:00
,,,,,,,79. Đánh giá bài luyện tập (bài diễn thuyết 2),29:45:00
,,,,,,,80. Bài luyện tập 2 (1 đoạn hội thoại và 2 bài diễn thuyết),1 trang
,,,,,,,81. Bài luyện tập 2 (đoạn hội thoại),30:12:00
,,,,,,,82. Bài luyện tập 2 (bài diễn thuyết 1),1:00:38
,,,,,,,83. Lớp học trực tuyến: Bài diễn thuyết phần 1,3:10
,,,,,,,84. Lớp học trực tuyến: Bài diễn thuyết phần 2,26:49:00
,,,,,,,85. Lớp học trực tuyến: Bài diễn thuyết phần 4,27:53:00
,,,,,,,86. Lớp học trực tuyến: Bài diễn thuyết phần 6,10:20
,,,,,,,87. Lớp học trực tuyến: Ví dụ 2,12:38
,,,,,,Phần 6: Phần Nghe bài thi TOEFL iBT,,
,,,,,,,88. Giới thiệu,3:54
,,,,,,,89. Lợi ích khóa học,4:47
,,,,,,,90. Lợi ích khóa học: 3 bài thi Nói hoàn chỉnh (18 câu) được chấm điểm và phân tích,2:29
,,,,,,,91. Tổng quan,9:23
,,,,,,,92. Các đề mục điểm,3:46
,,,,,,,93. Một số mẹo chung,3:13
,,,,,,,94. Những bài tập phát âm,7 trang
,,,,,,,95. Những chiến thuật ghi điểm xuất sắc,3:40
,,,,,,,96. Bài tập hướng dẫn,3:32
,,,,,,,97. Các kiểu câu hỏi,2 trang
,,,,,,,98. Tiêu chuẩn chấm điểm ,3 trang
,,,,,,,99. Nói trôi chảy với những câu được hỏi,2 trang
,,,,,,,100. Nguyên nhân điểm thấp,1 trang
