,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Khám phá những gì bạn đang thực sự bán,10:20
,,,,,,"Phần 4: Bước ba: Thiết kế việc kinh doanh, Sản phẩm & Dịch vụ của bạn",,
,,,,,,,Giới thiệu bước 3,0:30
,,,,,,,Chọn một mô hình kinh doanh,10:37
,,,,,,,Thiết kế chương trình mang dấu ân của bạn,12:00
,,,,,,,Làm một thử nghiệm về tính khả thi tài chính,10:23
,,,,,,Phần 5: Bước Bốn: Tạo thông điệp marketing của bạn,,
,,,,,,,Giới thiệu bước 4,0:30
,,,,,,,Thông điệp marketing cốt lõi của bạn,13:59
,,,,,,,Tầm quan trọng của việc tập trung,7:04
,,,,,,Phần 6: Bước Năm: Xây dựng thương hiệu doanh nghiệp của bạn,,
,,,,,,,Giới thiệu bước 5,0:31
,,,,,,,Khám phá về nhãn hiệu,14:28
,,,,,,,Động não về nhãn hiệu,6:03
,,,,,,,Nghiên cứu và Bảo vệ thương hiệu,10:40
,,,,,,,Hoàn hiện thương hiệu,10:07
,,,,,,Mục 7: Bước Sáu: Thiết lập kế hoạch tiếp thị của bạn,,
,,,,,,,Giới thiệu bước 6,0:29
,,,,,,,Lựa chọn các hoạt động tiếp thị của bạn,7:56
,,,,,,,Lập sơ đồ kế hoạch tiếp thị trong 90 ngày của bạn,10:19
,,,,,,Phần 8: Bước Bảy: Thu hút Khách hàng,,
,,,,,,,Giới thiệu bước 7,0:31
,,,,,,,Thu hút khách hàng: tìm kiếm khách hàng triển vọng cho doanh nghiệp của bạn,12:56
,,,,,,,Gắn kết: thúc đẩy khách hàng tiềm năng hành động,10:25
,,,,,,,Phát triển: Xây dựng một mối quan hệ với khách hàng tiềm năng của bạn,14:04
,,,,,,,CHinh phục thành công: Biến khách hàng tiềm năng thành khách hàng chịu thanh toán,16:36
,,,,,,Phần 9: Kết luận,,
,,,,,,,Tóm tắt và Tổng kết,4:02
