,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Thêm về các Công cụ Nghiên cứu Từ khóa,5:24
,,,,,,,Tầm quan trọng của Từ khóa,2 câu hỏi
,,,,,,,Một Tá Dơ Bẩn 2 - Phát triển Danh sách làm thử của bạn,7:04
,,,,,,,Kịch bản hoàn hảo: Một món Sanwich Video ngon,8:51
,,,,,,,Tùy chỉnh kênh YouTube của bạn: Không bao giờ quá sớm để Tối ưu hóa,9:55
,,,,,,Phần 3: Đến lúc đăng tải video,,
,,,,,,,Tải lên và Tối ưu hóa: Đồng hồ I$ đang điểm,4:59
,,,,,,,Sử dụng phần Mô tả của Youtube một cách hiệu quả nhất,6:32
,,,,,,,Thêm về Mô tả của YouTube: Giúp người xem định hướng video của bạn,3:10
,,,,,,,Bí mật đằng sau công cụ phụ đề của YouTube,6:24
,,,,,,,Chúc mừng ... Bạn GẦN NHƯ đã hoàn thành!,5:00
,,,,,,,Đặc biệt: Về hệ thống Call-to-action Overlay của Youtube,9:04
,,,,,,Phần 4: Thảo luận thêm,,
,,,,,,,Liên kết hỗ trợ (Backlinking),9:16
,,,,,,,Tối ưu hóa Video và Marketing Affiliate ,6:44
,,,,,,,Thêm bằng chứng về độ hiệu quả: YouTube + Google = SEO4Video,5:50
,,,,,,,"Hãy coi chừng - Hệ thống Overlay của Youtube đã Thay đổi!
Xem trước",4:18
,,,,,,,Và tốt hơn thế! Thêm Bài học hay vào tháng Tư năm 2015,2:54
,,,,,,,"Tiền Thưởng đặc biệt trị giá gần 1,400 đô la",Văn bản
