,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Hiểu về đặc điểm nhân chủng học của lượng xem,3:23
,,,,,,,Giờ thì xem bạn đã thành công,4:54
,,,,,,,Tính năng mới -  real time,Văn bản
,,,,,,,Devices - phân tích đơn giản,3:51
,,,,,,,Quan trọng: Làm thế nào để phân tích được hết các chức năng của Youtube,17:27
,,,,,,Phần 6: hiểu được báo cáo lượt tương tác để tiến tới thành công,,
,,,,,,,báo cáo tương tác: giới thiệu,0:37
,,,,,,,hiểu được phân tích về lượt theo dõi,6:27
,,,,,,,liké và dislikes - bạn cần biết cái gì? nó sẽ làm bạn bất ngờ,3:39
,,,,,,,"Ví dụ về dữ liệu ""ưa thích"" của bạn",1:08
,,,,,,,Tìm hiểu sao những bình luận lại rất quan trọng ,1:04
,,,,,,,Chia sẻ video của bạn,1:31
,,,,,,,"Báo cáo chú thích - làm sao để đọc được chúng, làm sao để tăng được kết quả lên",3:39
,,,,,,Phần 7 Cơ bản về bản quyền,,
,,,,,,,Bản quyền - những câu hỏi thường gặp - Băng nghe,3:44
,,,,,,,Bạn có cần giúp để hiểu vấn đề bản quyền của 1 video,Văn bản
,,,,,,,Giúp đỡ. có 1 ai đó ăn cắp video của tôi,Văn bản
,,,,,,Phần 8 - hỏi đáp,,
,,,,,,,tại sao bạn không cần quan tâm tới lượt view,6:16
,,,,,,,tại sao định dạng file không được Youtube chấp nhận,Văn bản
,,,,,,,bí mật để thành công trên Youtube,5:59
,,,,,,,"Views ""Stuck"" at 301?",Văn bản
,,,,,,Phần 9: Các nguồn tài liệu tham khảo,,
,,,,,,,Nguồn tài liệu - 1000 trang có thể download PDF,Văn bản
,,,,,,,Sử dụng Youtube để kết nối với thế hệ C,1 trang
,,,,,,Phần 10: Ảnh hiển thị Youtube và khóa học đồ họa - kiếm phiếu giảm giá ở đây,,
,,,,,,,Ảnh Youtube - khóa học miễn phí,Văn ban
,,,,,,Phần 11: Tìm hiểu thêm về Alun Hill,,
,,,,,,,Về Alun Hill,Văn bản
