,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,"Modules, Apps, và các trình điều khiển (Controller)",9:20
,,,,,,Phần 3: Dịch vụ và DI (Dependency Injection),,
,,,,,,,Javasript nói riêng: DI (Dependency Injection),4:45
,,,,,,,Scope,4:56
,,,,,,,Javascript nói riêng: Hàm và Chuỗi,4:01
,,,,,,,AngularJS thực hiện DI như thế nào?,3:03
,,,,,,,Sử dụng các service khác,20:27
,,,,,,,Javascript nói riêng: Mảng và Hàm.,3:05
,,,,,,,DI và Tối giản hóa (Minification),11:10
,,,,,,Phần 4: Gắn Kết Dữ Liệu (Data binding) và Định Hướng (Directives),,
,,,,,,,Phạm vi và Nội suy,9:58
,,,,,,,Định hướng và Hai cách Data Binding,13:13
,,,,,,,Javascript nói riêng: Vòng lặp xử lý sự kiện,3:21
,,,,,,,Trình theo dõi (Watcher) và Vòng lặp phân loại (Digest Loop),17:28
,,,,,,,Các định hướng (directives) phổ biến,19:51
,,,,,,,Các định hướng (directives) phổ biến (phần 2),4:13
,,,,,,,Javascript nói riêng: Object XMLHTTPRequest,9:14
,,,,,,,Dữ liệu ngoài và $http,13:17
,,,,,,Phần 5: Trang Ứng Dụng Đơn (SPA - Single trang Applications),,
,,,,,,,"Angular Aside: Multiple Controllers, Multiple Views",4:37
,,,,,,,HTMP và Javascript nói riêng: Trang ứng dụng đơn và Mã Hash,8:47
,,,,,,,"Định tuyến (Routing), Bản mẫu (Templates), và Trình điều khiển (Controllers)",14:37
,,,,,,,"Định tuyến (Routing), Bản mẫu (Templates), và Trình điều khiển (Controllers) (phần 2)",6:26
,,,,,,Phần 6: Các Service Tùy Chỉnh,,
,,,,,,,Javascript nói riêng: Singletons (Duy nhất),6:09
,,,,,,,Tạo một Service,12:59
,,,,,,Phần 7: Các Directive Tùy Chỉnh,,
,,,,,,,HTML nói riêng: Các thành phần dùng lại được (Reusable Components),2:24
,,,,,,,Javascript và Angular nói riêng: Tên Biến và Bình Thường Hóa,6:32
,,,,,,,Angular và bình thường hóa tên các thuộc tính,1 câu hỏi
,,,,,,,Tạo một Directive,18:37
,,,,,,,Bản mẫu,3:12
,,,,,,,"Phạm vi (@, =, và một số ký tự)",13:29
,,,,,,,"Phạm vi (@, =, và một số ký tự) (phần 2)",5:59
,,,,,,,"Phạm vi (@, =, và một số ký tự) (phần 3)",10:27
,,,,,,,Directive lặp lại,3:30
,,,,,,,Tìm hiểu về 'Biên dịch' (Compile),18:06
,,,,,,,Tìm hiểu về 'Đường dẫn' (Link),3:04
,,,,,,,Tìm hiểu về 'Nhúng' (Transclusion),5:44
,,,,,,Phần 8: Cùng Nhau Xây Một Ứng Dụng Nào! (Trong Thời Gian Kỷ Lục!),,
,,,,,,,Một Trang ứng dụng đơn (SPA) dự báo thời tiết,12:48
,,,,,,,Một service tùy chỉnh,5:17
,,,,,,,Gắn kết dữ liệu (phần 1),18:07
,,,,,,,Gắn kết dữ liệu (phần 2),7:40
,,,,,,,Một directive tùy chỉnh,13:43
,,,,,,,Ghi chú,0:32
,,,,,,Phần 9: BONUS,,
,,,,,,,Cải thiện trải nghiệm người dùng về trang SPA với ng-submit,6:05
,,,,,,,Thiết kế các services trong một chương trình AngularJS lớn,7:16
,,,,,,,"Trình điều khiển (Controller) lồng nhau, Mã nguồn sạch (Clean Code) và 'Controller as' (thay thế cho $scope)",10:49
,,,,,,Phần 10: Hãy Sẵn Sàng Với AngularJS 2.0 Vào Năm 2016,,
,,,,,,,"Cập nhật #1 - ES6, AtScript, ...",8:12
,,,,,,,Cập nhật #1 - Links,Văn bản
,,,,,,Phần 11: Kết luận,,
,,,,,,,Quà chia tay,Văn bản
,,,,,,,Kết luận,1:47
