,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1trang
,,,,,,,Buổi thực hành số 1 - Gặp gỡ Mọi người,3:35
,,,,,,,Gặp gỡ Mọi người,4 câu hỏi
,,,,,,,Cập nhật tiến độ,0:13
,,,,,,Phần 4: Tiền,,
,,,,,,,Số thứ tự từ 1 đến 10,2:17
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang
,,,,,,,Buổi thực hành  số 2 (Số thứ tự từ 1 đến 10),2:06
,,,,,,,Nó có giá bao nhiêu? - Từ vựng và Hội thoại,2:33
,,,,,,,Nó có giá bao nhiêu? ,6 câu hỏi
,,,,,,,Các phương thức thanh toán - Từ vựng và Hội thoại,4:19
,,,,,,,Thẻ ATM và Văn phòng giao dịch ngoại tệ - Từ vựng và Hội thoại,2:37
,,,,,,,Danh mục về Tiền,5 câu hỏi
,,,,,,Phần 5: Các Dịch vụ và Tiện ích Khách sạn,,
,,,,,,,Các Dịch vụ và Tiện ích Khách sạn - Từ vựng,3:05
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 trang
,,,,,,,Buổi thực hành số 3 - Các Dịch vụ và Tiện ích Khách sạn,5:20
,,,,,,,Các Dịch vụ và Tiện ích Khách sạn - Hội thoại,1:45
,,,,,,,Cập nhật tiến độ,0:13
,,,,,,,Bên trong phòng khách sạn - Từ vựng,2:36
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 trang
,,,,,,,Bài thực hành số 4 - Bên trong Phòng Khách sạn,5:18
,,,,,,,Tại bộ phận Lễ tân - Từ vựng,2:11
,,,,,,,Tại bộ phận Lễ tân - Hội thoại,2:12
,,,,,,Phần 6: Đặt Phòng Khách sạn,,
,,,,,,,Đặt phòng khách sạn - Câu hỏi từ nhân viên khách sạn,3:38
,,,,,,,Câu hỏi từ nhân viên khách sạn,3 câu hỏi
,,,,,,,Đặt phòng khách sạn  - Các câu hỏi bạn sẽ hỏi,7:19
,,,,,,,Đặt phòng khách sạn - Hội thoại,1:39
,,,,,,,Đặt phòng Khách sạn,9 câu hỏi
,,,,,,Phần 7: Hỏi/ Làm theo chỉ dẫn,,
,,,,,,,Các điểm đến phổ biến - Từ vựng,3:25
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,3 trang
,,,,,,,Buổi thực hành số 5 - Các Chỉ dẫn phổ biến,5:36
,,,,,,,Cập nhật tiến độ,0:13
,,,,,,,Hỏi và làm theo chỉ dẫn - Từ vựng,4:09
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang
,,,,,,,Bài thực hành số 6 - Làm theo chỉ dẫn,3:14
,,,,,,,Khu phố - Từ vựng và thực hành,2:14
,,,,,,,Hỏi và làm theo chỉ dẫn - Hội thoại,1:33
,,,,,,,Hỏi / Làm theo Chỉ dẫn,9 câu hỏi
,,,,,,,Tại lối rẽ / đèn giao thông - Từ vựng và thực hành,2:51
,,,,,,,"Khu phố ,lối rẽ / Đèn giao thông",7 câu hỏi
,,,,,,,Khu phố tính theo đơn vị mét - Từ vựng và thực hành,5:23
,,,,,,,Hàng trăm,9câu hỏi
,,,,,,,Số đếm và đơn vị mét,8 câu hỏi
,,,,,,Phần 8: Phương tiện giao thông công cộng,,
,,,,,,,Phương tiện vận chuyển - Từ vựng,3:20
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 câu hỏi
,,,,,,,Buổi thực hành số 7 - Các phương tiện vận chuyển,4:17
,,,,,,,Thời gian đến / rời đi - Từ vựng,8:35
,,,,,,,Từ vựng về thời gian đến / rời đi,19 câu hỏi
,,,,,,,Cập nhật tiến độ,0:12
,,,,,,,Mấy giờ nó rời đi/ đến? - Từ vựng,6:35
,,,,,,,Mấy giờ nó rời đi/ đến? - Hội thoại,1:29
,,,,,,,Mấy giờ nó rời đi/ đến?,8 câu hỏi
,,,,,,,Tôi nên bắt xe buýt/ chuyến tàu/ chuyến phà nào? - Từ vựng,3:47
,,,,,,,Tôi nên bắt xe buýt/ chuyến tàu/ chuyến phà nào? - Hội thoại,1:22
,,,,,,,Từ vựng Tôi nên bắt xe buýt/ chuyến tàu/ chuyến phà nào?,6 câu hỏi
,,,,,,,Số đếm từ 13 đến 20,2:10
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang
,,,,,,,Buổi thực hành số 8 - Số đếm từ 13 đến 20,2:37
,,,,,,,Mua vé - Từ vựng,2:57
,,,,,,,Mua vé - Hội thoại,1:50
,,,,,,,Từ vựng về mua vé,7 câu hỏi
,,,,,,Phần 9: Đi du lịch bằng Taxi,,
,,,,,,,Bắt Taxi - Từ vựng,3:11
,,,,,,,Bắt Taxi - Hội thoại,1:40
,,,,,,,Bắt Taxi - Trả tiền cho tài xế,2:33
,,,,,,,Bắt Taxi,9 câu hỏi
,,,,,,,Cập nhật tiến độ,0:13
,,,,,,Mục 10: Đọc thực đơn và các loại đồ uống phổ biến,,
,,,,,,,Thực đơn - Từ vựng,3:55
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 trang
,,,,,,,Buổi thực hành  số 9 - Thực đơn,5:26
,,,,,,,Đồ uống - Từ vựng,5:38
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,3 trang
,,,,,,,Buổi thực hành số 10 - Các loại đồ uống,9:44
,,,,,,Mục 11: Gọi món ăn,,
,,,,,,,Những điều nhân viên phục vụ sẽ nói hoặc hỏi,9:33
,,,,,,,Những điều nhân viên phục vụ sẽ nói hoặc hỏi,11 trang
,,,,,,,Gọi món ăn - Từ vựng,2:13
,,,,,,,Gọi món ăn - Hội thoại,5:36
,,,,,,,Gọi món ăn,8 trang
,,,,,,Phần 12: Danh mục món ăn phổ biến,,
,,,,,,,Danh mục Món ăn là động vật - Từ vựng,3:34
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 trang
,,,,,,,Buổi thực hành số 11 - Món ăn là động vật,5:24
,,,,,,,Danh mục Món ăn không liên quan đến Động vật - Từ vựng,5:03
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,3 trang
,,,,,,,Buổi thực hành số 12 - Món ăn không liên quan đến Động vật,7:27
,,,,,,,Cập nhật tiến độ,0:13
,,,,,,,Kết hợp và loại bỏ Thực phẩm - Từ vựng và Hội thoại,4:54
,,,,,,,Kết hợp và Loại bỏ thực phẩm,12 câu hỏi
,,,,,,Mục 13: Đồ gia vị và đặt bàn,,
,,,,,,,Bổ sung một vài gia vị - Từ vựng,2:28
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang
,,,,,,,Buổi thực hành số 13 - bổ sung một vài gia vị,3:43
,,,,,,,Bổ sung một vài gia vị - Hội thoại,3:41
,,,,,,,Đặt Bàn - Từ vựng,2:58
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,2 trang
,,,,,,,Buổi thực hành số 14 - Đặt Bàn,4:13
,,,,,,,Đặt Bàn - Hội thoại,3:48
,,,,,,,Bổ sung một vài gia vị và đặt bàn,6 câu hỏi
,,,,,,Mục 14: Thanh toán Hóa đơn tại nhà hàng,,
,,,,,,,Số đếm từ 21 đến 99,6:21
,,,,,,,Biểu mẫu bổ sung để dùng cho các video tiếp theo,1 trang
,,,,,,,Buổi thực hành số 15 - Số đếm từ  21 đến 99,3:53
,,,,,,,Thanh toán hóa đơn tại nhà hàng - Hội thoại,2:47
,,,,,,,Số đếm từ 21 đến 99 và thanh toán hóa đơn,9 câu hỏi
,,,,,,,Cập nhật tiến độ,0:21
,,,,,,,Phần kết luận,2:29
,,,,,,Chương trình học đầy đủ,,
