,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Từ vựng về Kích cỡ và Trọng lượng.,2 slides
,,,,,,,Đồ ăn và Đồ uống.,3 slides
,,,,,,,Các động từ hữu ích.,1 slide
,,,,,,,Các tình huống khẩn cấp.,1 slide
,,,,,,,Bản thuyết trình đầy đủ khóa học để tải về.,74 trang
,,,,,,Phần 8: Mục bổ sung: Video Flashcard 60 giây ,,
,,,,,,,"Video Flashcard 60 giây: Bữa ăn và Đồ ăn vặt 
Xem trước",0:57
,,,,,,,"Video Flashcard 60 giây: Đồ uống
Xem trước",0:59
,,,,,,,Video Flashcard 60 giây: Màu sắc và Hình dáng,0:59
,,,,,,,"Video Flashcard 60 giây: Gia đình, Bạn bè và Các mối quan hệ",1:00
