,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,bài tập tải về,21 trang
,,,,,,,Những bài tập về Phòng Ghi nhỡ sẽ mang lại kết quả tuyệt vời khi bạn biết cách lấp đầy chúng,5:26
,,,,,,,Bài tập thực hành mẫu của 1 học viên theo phương pháp Bộ nhớ Từ tính,8 trang
,,,,,,Phần 5: Gài từ vựng vào Cung điện trí nhớ của bạ,,
,,,,,,,Nguyên tắc của phân loại từ vựng,1:59
,,,,,,,Bài kiểm tra về nguyên tắc của phân loại từ vựng,1 câu hỏi
,,,,,,,Bài tập: Chuẩn bị và Xác định,Văn bản
,,,,,,Phần 6: Bí quyết nhớ bài: Lưu trữ và kiểm tra từ vựng đã học,,
,,,,,,,Lập kế hoạch & luyện tập từ vựng đã học,6:03
,,,,,,,Sử dụng tệp Excel để lưu trữ và kiểm tra từ vựng đã ghi nhớ,13:14
,,,,,,,Nguyên tắc Từ ghép,8:29
,,,,,,,Tóm tắt bí quyết Nhớ lại,2 trang
,,,,,,,Bài kiểm tra Lưu trữ và luyện tập với từ vựng đã học,2 câu hỏi
,,,,,,Phần 7:Bí quyết ghi nhớ ngữ pháp này sẽ mang đến những trải nghiệm tuyệt vời với việc học ngoại ngữ cho bạn,,
,,,,,,,Làm thế nào để dễ dàng sử dụng Cung điện trí nhớ và Liên kết để nhỡ những cấu trúc ngữ pháp khác nhau,5 trang
,,,,,,Phần 8: Bí quyết xây dựng kế hoạch ghi nhớ từ vựng theo thữ tự bảng chữ cái,,
,,,,,,,Làm thế nào để học thuộc lòng từ vựng của nhiều hơn một ngoại ngữ cũng lúc,5:36
,,,,,,,Bí quyết để học thuộc lòng bảng chữ cái xa lạ,3:54
,,,,,,,Ví dụ về Cung điện trí nhớ xếp theo bảng chữ cái,7:08
,,,,,,,Nguồn tham khảo Phát âm tuyệt vời (và làm thế nào để sử dụng nó),4:11
,,,,,,,Bài kiểm tra về Bí quyết xây dựng chiến lược,2 câu hỏi
,,,,,,Phần 9: Các khái niệm nâng cao,,
,,,,,,,Làm thế nào để học thuộc lòng chính tả của từ vựng ngoại ngữ,3:40
,,,,,,,Sử dụng không gian tưởng tượng,5:10
,,,,,,,Nguyên tắc Đa dạng,1:31
,,,,,,,Nguyên tắc Thả lỏng tâm trí,8:20
,,,,,,,Bài kiểm tra về các khái niệm nâng cao,2 câu hỏi
,,,,,,Phần 10: Các bí quyết hàng đầu về việc ghi nhớ ngoại ngữ - bonus,,
,,,,,,,Tặng thêm bài 1,1:14:27
,,,,,,,Tặng thêm: bài 1 phụ lục: bản PDF đầy đủ của khóa học này,75 trang
,,,,,,,Tặng thêm bài 2,4:28
,,,,,,,Tặng thêm bài 3,21:21
,,,,,,,Tặng thêm bài 4,10:21:00
,,,,,,Phần 11: Phương pháp Bộ nhớ Từ tính- phần bổ sung,,
,,,,,,,Sử dụng trờ chơi điện tử để học thuộc lòng từ vựng,1:57
,,,,,,,Ghi nhớ từ vựng với những khu thương mai,3:26
,,,,,,,Tạo nên động lực,3:09
,,,,,,,Nhắm mắt lại để ghi nhớ,1:04
,,,,,,,Quản lý thời gian và ghi nhớ từ vựng,3:55
,,,,,,,Các rủi ro của sự cầu toàn,6:18
,,,,,, Phần 12: Phần phụ lục đặc biệt: Các chuyên gia trong việc học và ghi nhớ ngoại ngữ,,
,,,,,,,Làm thế nào để trở thành một Người học Siêu cấp với tuyệt vời giảng sư Jonathan Levi,58:31:00
,,,,,,Phần 13: Kết luận,,
,,,,,,,Giảm bớt chướng ngại,2:04
,,,,,,,Cám ơn bạn !,1:24
,,,,,,,Trước khi bạn đi,Văn bản
,,,,,,Phần 14: Câu hỏi được trả lời (nội dung vẫn cập nhật cho người mới tham gia khóa học),,
,,,,,,,Về việc không vượt qua con giới hạn của bạn khi sử dụng Cung điện trí nhớ để nhớ từ vựng,17:51
,,,,,,,Về việc trở nên trực quan hơn khi sử dụng Cung điện trí nhớ để nhớ từ vựng,22:54
,,,,,,,Về việc tìm thêm nhiều Cung điện trí nhớ.,23:18
,,,,,,,"Về việc dùng các ""Miếng dán"" trong đầu bạn nhằm ghi nhớ từ vựng",4:20
,,,,,,,Mở rộng khả năng ghi nhớ của bạn,11:56
,,,,,,,"Về ""Khung"" của sự thành thạo",17:08
,,,,,,,Về thủ thuật ghi nhớ theo phong cách Nữ hoàng Elizabeth,4:57
,,,,,,,Về việc định vị mục tiêu ngôn ngữ của bạn một cách chính xác trong Cung điện trí nhớ,6:48
,,,,,,,Về việc dùng thủ thuật Hình ảnh trong Cung điện trí nhớ,9:01
,,,,,,,"Hướng dẫn về việc tìm kiếm thời gian, tính nhất quán, và công nghệ trong học tiếng Tây Ban NHa",1:02
,,,,,,,"Hướng dẫn về việc di chuyển giữ đói tượng được ghi nhớ với từ vựng với phương pháp ""Blitzkrieg"" trong việc học tiengs Trung",14:17:00
,,,,,,,Khóa học đặc biệt về hướng dẫn ghi nhớ các thuật ngữ y tế khó,12:28
,,,,,,,Hướng dẫn đơn giản hóa Cung điện trí nhớ trong việc học tiếng Đức,1:05:06
,,,,,,,,1:05:06
