,,,,,,,,
,,,,,,,Ôn tập,0:27
,,,,,,Phần 3: Ngày thứ 2,,
,,,,,,,Cấu trúc thư mục Linux,10:02
,,,,,,,Vỏ ngoài,7:35
,,,,,,,Các lệnh Linux cơ bản,5:06
,,,,,,,Dạy Bản thân Tìm kiếm,5:56
,,,,,,,Làm việc với các Thư mục,8:57
,,,,,,,Bảng liệt kê các tập tin và hiểu về đầu ra của LS,11:45
,,,,,,Phần 4: Ngày thứ ba,,
,,,,,,,Sự cho phép thư mục và tập tin được được giải thích - Phần Một,11:14
,,,,,,,Sự cho phép thư mục và tập tin được được giải thích - Phần Hai,9:28
,,,,,,,Tìm kiếm tập tin và Thư mục,6:55
,,,,,,,Hiển thị tập tin và trình soạn thảo Nano,5:16
,,,,,,,Chỉnh sửa tập tin trong Vi,9:58
,,,,,,,Chỉnh sửa tập tin với Emacs,5:40
,,,,,,,Biên tập đồ họa,4:22
,,,,,,Phần 5: Ngày thứ tư,,
,,,,,,,"Xóa, sao chép, di chuyển, và đổi tên tập tin",11:08
,,,,,,,Các kí hiệu - Phần Một,5:12
,,,,,,,Các kí hiệu - Phần Hai,7:03
,,,,,,,"Đầu vào, đầu ra, và sự chuyển hướng",7:46
,,,,,,,So sánh các tập tin,4:13
,,,,,,,Tìm kiếm trong tập tin và sử dụng ống dẫn,9:41
,,,,,,,Truyền tải và sao chép các tập tin trên mạng,6:35
,,,,,,,Điều chỉnh Dấu nhắc Vỏ ngoài,5:08
,,,,,,,Các công cụ rút gọn lệnh shell,3:41
,,,,,,,Ôn tập,0:27
,,,,,,Phần 6: Ngày thứ năm,,
,,,,,,,Biến môi trường,2 trang
,,,,,,,Quy trình và kiểm soát công việc,11:53
,,,,,,,Lặp đi lặp lại lịch trình công việc với Cron,5:50
,,,,,,,Chuyển đổi người dùng và chạy các lệnh,8:10
,,,,,,,Lịch sử shell và Tab Hoàn Tab,13:11
,,,,,,,Cài đặt phần mềm,13:33
,,,,,,,Kết luận - Xin chúc mừng và cảm ơn!,1:04
,,,,,,Mục 7: Phần thêm ,,
,,,,,,,"Phần thêm - Cài đặt Apache, MySQL, PHP và Wordpress trên Ubuntu",9:26
