,,,,,,,,
,,,,,,,Hướng dẫn Scrum và chuẩn bị kỳ thi: Lý thuyết,9:39
,,,,,,Phần 4: Vai trò của Scrum Team,,
,,,,,,,Mục tiêu khóa học: Vai trò Scrum Team,0:20
,,,,,,,Vai trò Scrum Team,3:57
,,,,,,,Hướng dẫn Scrum và chuẩn bị kỳ thi: Vai trò Team,13:24
,,,,,,Phần 5: Sự kiện Scrum,,
,,,,,,,Mục tiêu khóa học: Sự kiện Scrum,0:20
,,,,,,,Những sự kiện Scrum (chiếc hộp thời gian),4:40
,,,,,,,Hướng dẫn Scrum và chẩn bị kỳ thi: Sự kiện,18:09
,,,,,,Phần 6: Đồ tạo tác Scrum,,
,,,,,,,Mục tiêu khóa học: Thành phần lạ trong Scrum,0:20
,,,,,,,Thành phần lạ trong Scrum,2:53
,,,,,,,Hướng dẫn Scrum và chuẩn bị kỳ thi: Thành phần lạ phần 1,13:33
,,,,,,,Hướng dẫn Scrum và chuẩn bị kỳ thi: Thành phần lạ phần 2,7:45
,,,,,,Phần 7: Lời kết và chứng chỉ,,
,,,,,,,Mục tiêu khóa học: Lời kết,0:20
,,,,,,,Lời kết,7:56
,,,,,,,Đánh giá mở và chứng chỉ,0:20
,,,,,,,Phản hồi: phản hồi và thảo luận,1 trang
,,,,,,Phần 8: Tài liệu MIỄN PHÍ và tóm tắt khóa học,,
,,,,,,,Bổ sung: Giảm giá khóa đào tạo Agile ,1 trang
,,,,,,,"Khởi động một dự án từ sách Audio ""Sức mạnh của Scrum trong thế giới thực""",6:37
,,,,,,,"Kế hoạch Sprint từ sách Audio ""sức mạnh của Scrum trong thế giới thực""",14:04
,,,,,,,"Giới thiệu ""Scrum của Scrum"" - từ sách điện tử mang tên ""Scrum Mega Pack""",8 trang 
,,,,,,,Làm thế nào để Scrum trình chiếu,22 slides
,,,,,,,"Tại sao Scrum đóng vai trò làm việc từ sách điện tử ""SCrum Mega Work""",11 trang 
,,,,,,,3 bài viết đứng đầu Blog,1 trang
,,,,,,,Bổ sung: Sách điện tử Scrum miễn phí,1 trang
