,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Thiết lập không gian chơi (Play Space) của bạn,8:48
,,,,,,,Bóng + Trọng lực + Va Chạm = Fun,8:07
,,,,,,,"Va chạm, Nút bấm & Đâm va",9:41
,,,,,,,Làm sạch Trước khi Di chuyển,8:35
,,,,,,,Chọn kiểu Va chạm Trong Unity,8:25
,,,,,,,Câu hỏi giữa chương,7 câu hỏi
,,,,,,,Sử dụng Vật liệu vật lý,6:35
,,,,,,,Di chuyển bằng chuột,13:11
,,,,,,,Phát bóng bằng Click chuột,14:22
,,,,,,,Va chạm vô hình & Tỷ lệ trọng lực,10:21
,,,,,,,Tạo & sử dụng Unity Prefabs,13:05
,,,,,,,Unity Editor tổng quan đến chi tiết,5:42
,,,,,,,Tất cả mọi thứ làm cho A Prefab,9:42
,,,,,,,GameObject.FindObjectOfType,8:55
,,,,,,,Trình tự xây dựng cấp bậc,10:58
,,,,,,,Phá hủy khi ra đòn,9:40
,,,,,,,Nhập vào Sprite Sheets,15:41
,,,,,,,Trao đổi Sprites Trong Script,11:57
,,,,,,,Củng cố bộ đếm va chạm,12:48
,,,,,,,Phương pháp tĩnh để phát hiện điều kiện chiến thắng,14:00
,,,,,,,Phát hiệu ứng âm thanh,14:04
,,,,,,,Sử dụng Random.Range(),8:35
,,,,,,,Kiểm tra chức năng phát tự động ,14:05
,,,,,,,Xây dựng & Chia sẻ trên Web,7:46
,,,,,,,Sửa các lỗi người dùng báo,5:57
,,,,,,,Những hình dạng phức tạp hơn,12:47
,,,,,,,Làm mã nguồn có thể mở rộng,7:10
,,,,,,,Sử dụng hệ thống tiền tố,11:09
,,,,,,,DOWNLOAD Unity project,văn bản
,,,,,,,Câu hỏi kết thúc chương,9 câu hỏi
,,,,,,,Tổng kết,1:32
,,,,,,Phần 6: Laser Defender,,
,,,,,,,Giới thiệu về Laser Defender,1:33
,,,,,,,Tài liệu thiết kế trò chơi,3 trang 
,,,,,,,Laser Defender Assets,1 trang
,,,,,,,Ghi chú,132 trang 
,,,,,,,Nhập hệ thống danh sách,5:01
,,,,,,,Câu hỏi giữa chương,10 câu hỏi
,,,,,,,Câu hỏi giữa chương,9 câu hỏi
,,,,,,,Câu hỏi cuối chương,12 câu hỏi
,,,,,,Phần 7: Một số sự cố nhỏ: Bắt chước theo trò Plants vs. Zombies ,,
,,,,,,,Câu hỏi giữa chương,7 câu hỏi
,,,,,,,Câu hỏi giữa chương,7 câu hỏi 
,,,,,,,Câu hỏi cuối chương,3 câu hỏi
,,,,,,Phần 8: Phần cuối cùng,,
,,,,,,,Câu hỏi đố vui cuối khóa học,62 câu hỏi
