,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Phân bổ kiến trúc - Giới thiệu tóm tắt tổng quan,2:54
,,,,,,,Câu hỏi 2-4,1 câu hỏi
,,,,,,,Hadoop ,5:16
,,,,,,,Câu hỏi 2-5,2 câu hỏi
,,,,,,Phần 3: Cài đặt Hadoop,,
,,,,,,,Cài đặt Hadoop,28:57:00
,,,,,,,Linux (Ubuntu) - Mẹo,4:34
,,,,,,,Lệnh HDFS,10:32
,,,,,,,Chạy một chương trình MapRed,7:48
,,,,,,Phần 4: Kiến trúc HDFS và các khái niệm,,
,,,,,,,Các khái niệm HDFS,4:35
,,,,,,,Câu hỏi 4-1,12 câu hỏi
,,,,,,,Kiến trúc HDFS,6:35
,,,,,,,Câu hỏi 4-2,4 câu hỏi
,,,,,,,DĐọc và viết HDFS,4:54
,,,,,,,Câu hỏi 4-3,4 câu hỏi
,,,,,,,Các khái niệm HDFS II,4:04
,,,,,,,Các lệnh đặc biệt,6:34
,,,,,,Phần 5: Hiểu biết về MapReduce,,
,,,,,,,Giới thiệu MapReduce,6:05
,,,,,,,Câu hỏi 5-1,4 câu hỏi
,,,,,,,Hiểu biết về MapReduce phần 1,5:12
,,,,,,,Câu hỏi 5-2,3 câu hỏi
,,,,,,,Hiểu biết về MapReduce phần 2,5:19
,,,,,,,Câu hỏi 5-3,1 câu hỏi
,,,,,,,Chạy chương trình MapReduce đầu tiên,10:31
,,,,,,,Câu hỏi 5-4,6 câu hỏi
,,,,,,,Người phối hợp và chạy công cụ,11:05
,,,,,,,Câu hỏi 5-5,5 câu hỏi
,,,,,,,"Tóm tắt bản đồ, giảm thiểu và phối hợp phần 1",7:27
,,,,,,,"Tóm tắt bản đồ, giảm thiểu và phối hợp phần 2",7:45
,,,,,,Phâần 6: Các loại MapReduce và định dạng,,
,,,,,,,Các loại MapReduce và định dạng,5:37
,,,,,,,Câu hỏi 6-1,3 câu hỏi
,,,,,,,Các thí nghiệm với Defaults,7:11
,,,,,,,Câu hỏi 6-2,3 câu hỏi
,,,,,,,Các lớp học định dạng IO,6:16
,,,,,,,Câu hỏi 6-3,2 câu hỏi
,,,,,,,Các thí nghiệm với File output - Advanced Concept,3:38
,,,,,,Phần 7: MapReduce cổ điển and YARN,,
,,,,,,,Phân tích hoạt động làm việc của MapReduce,4:22
,,,,,,,Câu hỏi 7-1,4 câu hỏi
,,,,,,,Job run- Classic MapReduce,7:54
,,,,,,,Câu hỏi 7-2,6 câu hỏi
,,,,,,,Kịch bản sai lầm - MapReduce cổ điển,3:45
,,,,,,,Câu hỏi 7-3,4 câu hỏi
,,,,,,,Job run -YARN,9:45
,,,,,,,Câu hỏi 7-4,8 câu hỏi
,,,,,,,Kịch bản sai lầm - YARN,5:18
,,,,,,,Câu hỏi 7-5,4 câu hỏi
,,,,,,,Lên kế hoạch công việc MApreduce,5:06
,,,,,,,Xáo trộn và phân loại,4:32
,,,,,,,Câu hỏi 7-7,4 câu hỏi
,,,,,,,Tình năng điều chỉnh hiệu suất,7:10
,,,,,,,Câu hỏi 7-8,4 câu hỏi
,,,,,,Phâần 8: Các khái niệm MApreduce nâng cao,,
,,,,,,,Nhìn vào bàn tính,6:21
,,,,,,,Câu hỏi 8-1,3 câu hỏi
,,,,,,,Thực hành - Bàn tính,3:32
,,,,,,,Phân vùng sắp xếp ý tưởng - Phần 1,7:19
,,,,,,,Phân vùng sắp xếp ý tưởng - Phần 2,5:31
,,,,,,,Câu hỏi 8-2,5 câu hỏi
,,,,,,,Bản đồ phía tham gia vận hành,4:42
,,,,,,,Câu hỏi 8-3,4 câu hỏi
,,,,,,,Giảm sự vận hành tham gia phía,4:29
,,,,,,,Câu hỏi 8-5,2 câu hỏi
,,,,,,,Phân phối dữ liệu phía,3:47
,,,,,,,Câu hỏi 8-6,3 câu hỏi
,,,,,,,Hadoop Streaming and Hadoop Pipes,2:24
,,,,,,,Câu hỏi 8-7,2 câu hỏi
,,,,,,Phần 9: Giới thiệu hệ sinh thái Hadoop,,
,,,,,,,Giới thiệu về Pig,9:24
,,,,,,,Giới thiệu về Hive,10:07
,,,,,,,Câu hỏi - Hive,4 câu hỏi
,,,,,,,Giới thiệu về Sqoop,8:43
,,,,,,,Hiểu biết về Sqoop,4:05
,,,,,,,Giới thiệu hệ sinh thái,1 trang
,,,,,,Phần 10: Giới hạn cuối cùng: Chuẩn bị cho kỳ thi chứng chỉ CDH-410,,
,,,,,,,Bài thi cuối kỳ phần 1,50 câu hỏi
,,,,,,,Bài thi cuối kỳ phần 2,52 câu hỏi
,,,,,,,Bài thi cuối kỳ phần 3,19 câu hỏi
,,,,,,,Chuẩn bị cho kỳ thi chứng chỉ,0:56
