,,,,,,,,
,,,,,,,Hỗ trợ Gitting,1:24
,,,,,,,Lệnh giúp đỡ,Văn bản
,,,,,,,Cấu hình Git,2:41
,,,,,,,Các lệnh cấu hình,Văn bản
,,,,,,,Cài đặt và cấu hình,2 câu hỏi
,,,,,,Phần 3: Làm việc với Git,,
,,,,,,,Khởi động mới,2:21
,,,,,,,Khởi động với chương trình có sẵn,1:31
,,,,,,,Khởi động các lệnh,Text
,,,,,,,"Lệnh cam kết đầu tiên
Xem trước",4:48
,,,,,,,Lệnh cam kết đầu tiên,Văn bản
,,,,,,,"Làm việc địa phương, phần 1",3:29
,,,,,,,"Làm việc địa phương, phần 2",6:33
,,,,,,,Các lệnh làm việc địa phương,Văn bản
,,,,,,,Lịch sử Gitting,1:48
,,,,,,,Loại bỏ tập tin,4:45
,,,,,,,Di chuyển tập tin,2:18
,,,,,,,Bỏ qua tập tin,2:39
,,,,,,,Lịch sử và các lệnh quản lí tập tin,Văn bản
,,,,,,,Làm việc với Git tại địa phương,8 câu hỏi
,,,,,,Phần 4: Từ xa,,
,,,,,,,Thiết lập SSH xác thực,4:39
,,,,,,,Các lệnh xác thực SSH,Văn bản
,,,,,,,Phối hợp với Git Remotes và GitHub,5:47
,,,,,,,Các lệnh từ xa Git,Văn bản
,,,,,,,Từ xa,6 câu hỏi
,,,,,,Phần 5: Kết luận,,
,,,,,,,Lời kết,0:38
,,,,,,,Nguồn bổ sung,Văn bản
,,,,,,,Quà tặng: Quà tặng đặc biệt 2015,Văn bản
