Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,FROM sales,,,,Phần 3: Cách truy cập Rồng (Cơ sở dữ liệu),,,,
,,,WHERE sales_date BETWEEN ’01-JAN-2015’ AND ’31-JAN-2015’,,,,,Bạn hiểu như thế nào về Cơ sở dữ liệu?,1:59,Video,
,,,"GROUP BY NGÀY, THÀNH PHỐ;",,,,,Các lệnh cơ bản là gì?,2:43,Video,
,,,"Trong khóa học này, học viên sẽ học:",,,,,Chúng ta có thể lưu trữ loại Dữ liệu nào?,3:12,Video,
,,,- Các khái niệm cơ sở dữ liệu quan hệ,,,,,Mẫu Dữ liệu cho Khóa học,1:46,Video,
,,,- Lấy Dữ liệu từ Cơ sở dữ liệu,,,,Phần 4: Cho phép xem Dữ liệu,,,,
,,,- Lọc Dữ liệu dựa trên các yêu cầu kinh doanh,,,,,Tôi có thể xem dữ liệu gì?,3:45,Video,
,,,- Tạo bảng và thay đổi cấu trúc của nó,,,,,Tôi xem dữ liệu như thế nào (SELECT),2:51,Video,
,,,- Nhập dữ liệu từ các bảng khác nhau,,,,,Tôi xem một phần của dữ liệu như thế nào (SELECT)?,2:57,Video,
,,,- Gộp nhóm Dữ liệu và tính toán tóm tắt,,,,,Thực hành 1 (Bài tập có đáp án),2 trang,Document,
,,,- Hạn chế ràng buộc trên Bảng,,,,Phần 5: Cho phép giới hạn dữ liệu chúng ta xem (Lọc dữ liệu),,,,
,,,- Nâng cao hiệu suất sử dụng Index và nhiều kiến thức thú vị khác nữa .....,,,,,Lọc Dữ liệu (Lệnh WHERE),3:21,Video,
,,,- Các phần mềm được sử dụng,,,,,Toán tử So sánh,1:38,Video,
,,,- Cơ sở dữ liệu Oracle 11g,,,,,Lọc Dữ liệu (có ví dụ kèm theo),3:34,Video,
,,,- Nhà phát triển SQL,,,,,Bộ lọc trên các giá trị Đặc tính và giá trị Ngày,4:39,Video,
,,,,,,,,Lọc dựa trên một cột trong một bảng,4:02,Video,
,,,,,,,,Thực hành 2 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 6: Toán tử Logic,,,,
,,,,,,,,BETWEEN và NOT BETWEEN,2:32,Video,
,,,,,,,,IN và NOT IN,2:52,Video,
,,,,,,,,Toán tử LIKE,4:17,Video,
,,,,,,,,ALL và ANY,3:33,Video,
,,,,,,,,Cho phép học về NULL,2:08,Video,
,,,,,,,,LÀ NULL và KHÔNG PHẢI LÀ NULL,3:18,Video,
,,,,,,,,AND và OR,5:27,Video,
,,,,,,,,Thực hành 3 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 7: Toán tử Số học,,,,
,,,,,,,,Chúng rất đơn giản!!! (10 + 20 = 30),2:42,Video,
,,,,,,,,Thực hành 4 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 8: Cho phép sắp xếp cơ sở chúng ta xem (Sorting),,,,
,,,,,,,,Mệnh đề ORDER BY ,4:04,Video,
,,,,,,,,Các giá trị NULL được xử lý như thế nào trong khi Sắp xếp Dữ liệu?,2:06,Video,
,,,,,,,,Thực hành 5 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 9: Chúng ta gộp dữ liệu từ 2 bảng như thế nào?,,,,
,,,,,,,,Toán tử SET,2:39,Video,
,,,,,,,,Toán tử UNION,4:22,Video,
,,,,,,,,"Toán tử UNION
Xem trước",1:28,Video,
,,,,,,,,Toán tử INTERSECT,2:00,Video,
,,,,,,,,Toán tử MINUS,2:24,Video,
,,,,,,,,Thực hành 6 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 10: Cho phép gộp nhóm dữ liệu...,,,,
,,,,,,,,Chức năng Tóm tắt/ Gộp chung,5:28,Video,
,,,,,,,,Mệnh đề GROUP BY,4:08,Video,
,,,,,,,,GROUP BY với nhiều cột,5:00,Video,
,,,,,,,,GROUP BY với mệnh đề HAVING,3:21,Video,
,,,,,,,,Thực hành 7 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 11: Liên kết dữ liệu từ 2 hoặc nhiều bảng (LIÊN KẾT),,,,
,,,,,,,,Tại sao Liên kết?,3:53,Video,
,,,,,,,,Liên kết Nội,5:08,Video,
,,,,,,,,Liên kết Ngoại bên Trái,2:43,Video,
,,,,,,,,Liên kết Ngoại bên Phải,2:35,Video,
,,,,,,,,Liên kết Ngoại Đủ,2:26,Video,
,,,,,,,,Liên Kết Chéo,2:58,Video,
,,,,,,,,Liên kết Tự nhiên,2:22,Video,
,,,,,,,,Chuẩn hóa Cơ sở dữ liệu,1 trang,Document,
,,,,,,,,Thực hành 8 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 12: Các hàm số có sẵn cho chúng ta sử dụng ...,,,,
,,,,,,,,DUAL (Đây là gì?),2:37,Video,
,,,,,,,,Tại sao chúng ta cần các hàm số mới?,1:28,Video,
,,,,,,,,Các hàm số liên quan đến NUMBER,3:47,Video,
,,,,,,,,Các hàm số liên quan đến CHARACTER,4:07,Video,
,,,,,,,,Các hàm số liên quan đến DATE,4:56,Video,
,,,,,,,,Thực hành 9 (Bài tập có đáp án),1 trang,Document,
,,,,,,,Phần 13: Những ĐIỀU thú vị !!!,,,,
,,,,,,,,IF THEN ELSE (câu lệnh CASE),3:19,Video,
,,,,,,,,Tên thay thế (ALIAS),4:03,Video,
,,,,,,,,Giá trị DISTINCT,3:18,Video,
,,,,,,,,Cột PSEUDO,3:26,Video,
,,,,,,,Phần 14: Ngôn ngữ định nghĩa dữ liệu,,,,
,,,,,,,,Hãy tạo ra một bảng (CREATE),2:57,Video,
,,,,,,,,Hãy thay đổi cấu trúc bảng (ALTER),4:50,Video,
,,,,,,,,Hãy xóa bảng (DROP),1:01,Video,
,,,,,,,,Thực hành 11 (Bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 15: Ngôn ngữ thao tác dữ liệu ,,,,
,,,,,,,,COMMIT và ROLLBACK,1:28,Video,
,,,,,,,,Chèn dữ liệu vào một bảng (INSERT),5:14,Video,
,,,,,,,,Xóa dữ liệu từ một bảng (DELETE),3:32,Video,
,,,,,,,,Sửa đổi dữ liệu hiện có trong một bảng (UPDATE),3:49,Video,
,,,,,,,,Xóa tất cả các dữ liệu từ một bảng (TRUNCATE),3:01,Video,
,,,,,,,,Thực hành 12 (bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 16: Cho phép đặt một vài hạn chế trên một bảng (Constraints),,,,
,,,,,,,,Tại sao phải constraints?,1:51,Video,
,,,,,,,,Dữ liệu trống không được phép (NOT FULL),3:35,Video,
,,,,,,,,Không trùng lặp dữ liệu (UNIQUE),3:06,Video,
,,,,,,,,NOT NULL + UNIQUE = PRIMARY KEY là gì?,3:25,Video,
,,,,,,,,Chấp nhận chỉ số giá trị (CHECK),3:26,Video,
,,,,,,,,Kiểm tra dữ liệu trong bảng khác trước khi chèn/xóa (FOREIGN KEY),4:46,Video,
,,,,,,,,Constraints trên nhiều cột,3:13,Video,
,,,,,,,,Thêm ràng buộc vào một bảng hiện có,2:04,Video,
,,,,,,,,Các hoạt động về Constraints,2:11,Video,
,,,,,,,,Thực hành 13 (bài tập có đáp án),2 trang,Document,
,,,,,,,Phần 17: Hiển thị,,,,
,,,,,,,,Tại sao Hiển thị?,6:25,Video,
,,,,,,,,Cho phép chỉnh sửa một hiển thị hiện tại,1:56,Video,
,,,,,,,,Cho phép cập nhật Dữ liệu hiển thị,2:48,Video,
,,,,,,,,Tạo Hiển thị từ nhiều hơn một bảng,6:06,Video,
,,,,,,,,Thực hành 14 (bài tập có đáp án),2 trang,Document,
,,,,,,,Mục 18: Các Đối tượng Cơ sở dữ liệu khác,,,,
,,,,,,,,Tên thay thế cho các đối tượng (SYNONYMS),2:56,Video,
,,,,,,,,Loạt các số (SEQUENCE),3:34,Video,
,,,,,,,Mục 19: Đưa sự cho phép cho người dùng khác (GRANT),,,,
,,,,,,,,Tôi thích anh ấy (GRANT),4:33,Video,
,,,,,,,,Tôi không thích anh ấy (REVOKE),2:51,Video,
,,,,,,,,Danh sách GRANT's (đã cấp quyền),2 trang,Document,
,,,,,,,,Phần 20: Truy vấn SUB,,,
,,,,,,,,Truy vấn SUB là gì?,4:33,Video,
,,,,,,,,Tương quan truy vấn SUB,5:21,Video,
,,,,,,,Phần 21: Chủ đề nâng cao - Chỉ số (Index),,,,
,,,,,,,,Book Index??,2:25,Video,
,,,,,,,,Tạo một chỉ số (Index)..,3:44,Video,
,,,,,,,,Chỉ số UNIQUE ,2:42,Video,
,,,,,,,,Hàm dựa trên chỉ số (Index),3:40,Video,
,,,,,,,,Xóa và đổi tên một chỉ số (Index),1:48,Video,
,,,,,,,Phần 22: Kết thúc khóa học,,,,
,,,,,,,,Các khái niệm dữ liệu nâng cao cần nghiên cứu!!!,1 trang,Document,
,,,,,,,,Bài tập luyện tập,3 trang,Document,
