Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 11 - Biểu đồ hình tròn,3:09,video,https://www.youtube.com/watch?v=OdP26TeyS0I&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=11
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 12 - Chèn ảnh vào bảng tính,3:05,video,https://www.youtube.com/watch?v=aFB1Ovb_R40&index=12&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,Chương 3: Xử lý số liệu trong Excel,,,,
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 13 - Sử dụng format painter để định dạng nhanh hơn,1:42,video,https://www.youtube.com/watch?v=dRKKpiXLqKc&index=13&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 14 - Định dạng số liệu trong bảng tính,2:55,video,https://www.youtube.com/watch?v=nSeCAWr78KE&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=14
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 15 - Nhập dữ liệu bằng fill options,1:29,video,https://www.youtube.com/watch?v=jx_XSidTKes&index=15&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 16 - Sắp xếp dữ liệu,3:30,video,https://www.youtube.com/watch?v=SGsQJMdW_yw&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=16
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 17 - Find and Replace,2:58,video,https://www.youtube.com/watch?v=ZTpNIgDd8Gw&index=17&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 18 - Chèn Textbox,1:59,video,https://www.youtube.com/watch?v=PT5_itYMvQU&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=18
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 19 - Chèn kí tự đặc biệt,1:25,video,https://www.youtube.com/watch?v=CL3u5eEckd8&index=19&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 20 - Sử dụng spark lines,2:34,video,https://www.youtube.com/watch?v=XW_NOlvtozg&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=20
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 21 - Conditional Formatting Định dạng ô dữ liệu theo điều kiện,2:54,video,https://www.youtube.com/watch?v=ihjsqOVK5IY&index=21&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,Chương 4: Thuần thục Excel,,,,
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 22 - Sử dụng freezing pane,2:24,video,https://www.youtube.com/watch?v=HZ_xPtuLSTk&index=22&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 23 - Tạo bảng trong excel,2:50,video,https://www.youtube.com/watch?v=OehDIp1JLVU&index=23&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,"Hướng dẫn học EXCEL cơ bản - 24 - Wrap text, xuống dòng trong 1 ô excel",0:45,video,https://www.youtube.com/watch?v=FTC6VaBXYZk&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=24
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 25 - Lấy dữ liệu từ bảng tính này qua bảng tính khác,2:02,video,https://www.youtube.com/watch?v=OcgD0e52SoA&index=25&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 26 - Sử dụng Clipboard trong Excel,3:22,video,https://www.youtube.com/watch?v=sxjNI_iu-TQ&index=26&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 27 - Workspace trong Excel,4:21,video,https://www.youtube.com/watch?v=hqLeMY5o0K0&index=27&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 28 - Loại bỏ dữ liệu lặp lại trong excel,1:25,video,https://www.youtube.com/watch?v=U_CDH4zGkIM&index=28&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 29 - Tách dữ liệu trong cột,4:09,video,https://www.youtube.com/watch?v=U0M871VRGbU&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=29
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 30 - Đặt mặt khẩu cho 1 trang tài liệu trong excel 2010,4:00,video,https://www.youtube.com/watch?v=mpV4adw0oak&index=30&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 31 - Kiểm tra dữ liệu nhập vào 1 ô,7:19,video,https://www.youtube.com/watch?v=wunhyo0ME-E&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=31
,,,,,,,,,"Hướng dẫn học EXCEL cơ bản - 32 - Đặt tên cho 1 ô, 1 mảng dữ liệu, .. sử dụng Name trong Excel",7:55,video,https://www.youtube.com/watch?v=fjjR9KdexAA&index=32&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 33 - Lệnh OFFSET trong EXCEL,3:34,video,https://www.youtube.com/watch?v=vJ0sKDslmSA&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=33
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 34 - Lệnh IF trong Excel,10:18,video,https://www.youtube.com/watch?v=X-KPTugU3fI&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=34
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 35 - Biểu đồ tương tác đơn giản,1:18,video,https://www.youtube.com/watch?v=7-BiXk4_Thk&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=35
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 36 - Biểu đồ tương tác đơn giản (tiếp),12:47,video,https://www.youtube.com/watch?v=mZmjqbKEe0E&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=36
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 37 - Vẽ biểu đồ hình cột có giá trị âm và dương,10:34,video,https://www.youtube.com/watch?v=Gcdsn3c-8-g&index=37&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,"Hướng dẫn học EXCEL cơ bản - 38 - Hàm xử lý chuỗi kí tự, thông tin",10:01,video,https://www.youtube.com/watch?v=tmmDYcD1Rkc&index=38&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 39 - Sử dụng hàm VLookUp trong excel.,18:56,video,https://www.youtube.com/watch?v=ONNs-iEAHXU&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=39
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 40 - Một số phím tắt trong Excel,5:56,video,https://www.youtube.com/watch?v=E-YOP7PakWI&index=40&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 41 - Sử dụng Advanced Filter để lọc dữ liệu bảng tính,8:37,video,https://www.youtube.com/watch?v=_pNUEB4MWEk&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz&index=41
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 42 - Sử dụng hàm SUMIF / SUMIFs trong EXCEL,17:26,video,https://www.youtube.com/watch?v=Y4VKcarEKOU&index=42&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 43 - Hàm COUNTIF trong Excel,12:36,video,https://www.youtube.com/watch?v=YKOhVQF0Aeg&index=43&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,Hướng dẫn học EXCEL cơ bản - 44 - Công cụ Subtotal trong Excel,11:26,video,https://www.youtube.com/watch?v=JE2JdHqFdqc&index=44&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
,,,,,,,,,"Hướng dẫn học Excel - 45 - Đánh dấu dữ liệu lặp trong cột bằng Conditional Formatting, CountIF, VBA",16:28,video,https://www.youtube.com/watch?v=XhkiBQ5NmzM&index=45&list=PL-xa1TEVfkucth_q1Dt1SsrT5s-mBAvjz
