Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
,,,,"Một thành tố quan trong nữa trong kiến trúc .NET Framework chính là CLR (.Common Language Runtime), khối chức năng cung cấp tất cả các dịch vụ mà chương trình cần giao tiếp với phần cứng, với hệ điều hành.",,- Học lập trình bằng C# ngay tại nhà của bạn,,,Bài 2 : Toán tử toán học trong Java,9:00,Video,https://www.youtube.com/watch?v=tA0NZgF8SNo&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=5
,,,,"Nếu bạn đã làm quen với Java thì không thể không biết đến máy ảo Java (JVM) nổi tiếng. Nhưng .Net Framework không phải là một máy ảo, bởi thực tế bộ khung này không cài đặt các kỹ thuật máy ảo. Ứng dụng viết bằng java sẽ chạy trên JVM. Ứng dụng trên nền .NET thực sự được biên dich và chạy ở mức mã máy, tương tự những ứng dụng quen thuộc viết bằng C, hay VB.",,,,,Bài 3 : Thực hành toán tử điều kiện IF,7:00,Video,https://www.youtube.com/watch?v=p8VnzSse008&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=6
,,,,"Để có thể giúp các bạn làm quen với ngôn ngữ C# , ngày hôm nay myclass xin gữi đến các bạn khóa học Lập Trình C# Căn Bản. Mục đích của khóa học giúp cho các bạn làm quen với môi trường C# và làm sao để có thể tạo ra một ứng dụng với C#.",,,,,Bài 4 : Nhập liệu từ người dùng Scanner,5:00,Video,https://www.youtube.com/watch?v=FvPYKEKb4vo&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=7
,,,,,,,,,Bài 5 : Thực hành toán tử điều kiện SWITCH,5:00,Video,https://www.youtube.com/watch?v=JlAws2TjjRo&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=8
,,,,,,,,,Bài 6 : Thực hành vòng lặp FOR,2:00,Video,https://www.youtube.com/watch?v=DxSbR9mM5sE&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=9
,,,,,,,,,Bài 7 : Thực hành vòng lặp WHILE,4:00,Video,https://www.youtube.com/watch?v=yhMiBtlg0_o&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=10
,,,,,,,,,Bài 8 : Thực hành vòng lặp DO…WHILE,3:00,Video,https://www.youtube.com/watch?v=dyQVrepZ8uU&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=11
,,,,,,,,,Bài 9: Thực hành Mảng,5:00,Video,https://www.youtube.com/watch?v=x0eoZb2ZKC8&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=12
,,,,,,,,,Bài 10 : Thực hành Mảng Chuỗi,5:00,Video,https://www.youtube.com/watch?v=uxzGPDFJJog&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=13
,,,,,,,,,Bài 11 : Mảng đa chiều – Multi- Dimensional Arrays,7:00,Video,https://www.youtube.com/watch?v=H82qafczSuw&list=PL-xa1TEVfkueWipDlrTfD6eJwJVtbPygA&index=14
