Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Luật phối cảnh ba điểm,10:26
,,,,,,Bài 4: vẽ kỹ thuật,,
,,,,,,,Vẽ kỹ thuật cơ bản,15:09
,,,,,,,Vẽ từ cuộc sống,9:01
,,,,,,,Vẽ từ ảnh,15:25
,,,,,,Bài 5 : Thành phần,,
,,,,,,,Thành phần,12:20
,,,,,,Bài 6: Chất liệu vẽ phần 1,,
,,,,,,,Than chì,8:59
,,,,,,,Than,10:31
,,,,,,,Mực,8:59
,,,,,,Bài 7: Các yếu tố nghệ thuật,,
,,,,,,,Màu sắc,14:28
,,,,,,Bài 8: Chất liệu vẽ tranh phần 2,,
,,,,,,,Bút chì màu,11:55
,,,,,,,Sơn dầu,11:50
,,,,,,,Phấn mềm,11:21
,,,,,,Bài 9: Vẽ chân dung,,
,,,,,,,Tỉ lệ mặt,13:55
,,,,,,,Vẽ  mắt,14:04
,,,,,,,Vẽ mũi và miệng,12:24
,,,,,,,Vẽ tai,4:50
,,,,,,,Vẽ tóc,14:01
,,,,,,Bài 10: Vẽ hình dáng con người,,
,,,,,,,Vẽ cơ bản,19:59
,,,,,,,Vẽ rút gọn,12:53
,,,,,,Bài 11: Kết luận,,
,,,,,,,Kết luận ,2:58
