Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Hướng dẫn có được đánh giá Leak Finder,Văn bản
,,,,,,,Làm thế nào để ghi hình một video cho đánh giá leak Fider của bạn,5:29
,,,,,,Phần 3: Các chủ đề quan trọng,,
,,,,,,,Phần Giới thiệu,1:21
,,,,,,,"Tầm quan trọng của Toán trong Poker
Xem trước ",6:09
,,,,,,,Các khái niệm cơ bản,7:23
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,Phần 4: Xác suất & Tỷ lệ,,
,,,,,,,Xác suất & Tỷ lệ ,10:56
,,,,,,Phần 5: Tìm hiểu về Equity,,
,,,,,,,Hiểu về Pot Equity của bạn,10:14
,,,,,,Phần 6: Pot & Implied Odds,,
,,,,,,,Giới thiệu Pot & Implied Odds,19:04
,,,,,,Phần 7: Đếm số Outs,,
,,,,,,,"Những lá bài cần (Draws) và lá bài tốt (Outs)
Xem trước ",4:12
,,,,,,,Bài tập về Draws và Outs,8:17
,,,,,,Phần 8: Quy tắc 2 và 4,,
,,,,,,,Quy tắc 2 và 4,7:20
,,,,,,,Bài tập về quy tắc 2 và 4,9:02
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,Phần 9: Giá trị mong đợi (EV),,
,,,,,,,"Giới thiệu về EV
Xem trước",5:12
,,,,,,Phần 10: Chúng ta có thể theo ván bài không?,,
,,,,,,,Chúng ta có thể theo ván bài không?,13:46
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,Phần 11: Cược những con bài mạnh nhất,,
,,,,,,,Cược những con bài mạnh nhất,13:12
,,,,,,Phần 12: Mẹo lừa gạt lập lờ,,
,,,,,,,Bán lừa gạt,10:10
,,,,,,Phần 13: Bluffs và Hero Calls,,
,,,,,,,"Bluffs và Hero Calls
Xem trước ",8:18
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,Phần 14: Tính toán EV,,
,,,,,,,Diễn đàn thảo luận về bài tập,Văn bản
,,,,,,,Giới thiệu về EV,8:50
,,,,,,Phần 15: Sự kết hợp thẻ bài,,
,,,,,,,"Giới thiệu Sự kết hợp thẻ bài
Xem trước ",13:45
,,,,,,Phần 16: Xem lại lịch sử các ván bài & ván chơi trực tiếp,,
,,,,,,,Xem lại lịch sử xòe bài: Tại sao chúng ta không thể đồng ý theo cược,11:43
,,,,,,,Đồng ý theo cược một lá bài thêm thùng phá sảnh (Flush) với tỷ lệ cược nổi lớn,6:05
,,,,,,,Chơi một thùng phá sảnh mở rộng (OESD) với Implied Odds tốt,7:07
,,,,,,,Chơi một thùng phá sảnh mở rộng (OESD) & các Thẻ Bài Tích cực,4:41
,,,,,,,"Chơi nhanh một ván bài đỉnh nhất trên Board Wet Texture
Xem trước ",8:52
,,,,,,,Chơi online,18:58
,,,,,,,Chơi poker online trên khu vực bovada,19:29
,,,,,,Phần 17: Thủ thuật: Những điều cần biết thêm về tính toán trong poker ,,
,,,,,,,"Lượng tiền tối đa bạn có thể thắng khi trên tay có 1 đôi to, đấu từ 1 đến 5 người",5:51
,,,,,,Phần 18: Người hướng dẫn chi tiết tại buổi thảo luận Q&A,,
,,,,,,,Tỷ lệ phần trăm/ tỷ lệ ván bài tại buổi thảo luận mở ,15:02
,,,,,,Phần 19: Tổng kết khóa học,,
,,,,,,,Tổng hợp và xem có gì tiếp theo!,11:00
,,,,,,Phần 20: Hoàn thành khóa học,,
,,,,,,,Tổng quan toàn bộ khóa học - khóa học hoàn thành ngày 9/7/2015,2:06
,,,,,,,Chào mừng đến với khóa học - khóa học hoàn thành vào ngày 7/7/2015,5:02
,,,,,,,Tổng quan về khóa học - Khóa học hoàn thành vào ngày 7/7/2015                                                                 xem trước,7:40
