Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,
,,,,,,,Làm bánh vụn trên mặt bánh phần 2
,,,,,,,Công thức và hỗn hợp bánh vụn thanh mai phần 3
,,,,,,,Công thức và hỗn hợp bánh vụn đào phần 3
,,,,,,,Công thức và hỗn hợp bánh vụ cà ri đại hoàng phần 3
,,,,,,,Câu hỏi trắc nghiệm số 2: Bánh vụn 
,,,,,,Bài 3: Bánh pie vỏ kép,
,,,,,,,Làm bánh pie vỏ kép
,,,,,,,Công thức và hỗn hợp làm bánh việt quất dại phần 2
,,,,,,,Công thức và hỗn hợp làm bánh bột nhào nho đen phần 2
,,,,,,,Công thức và hỗn hợp làm bánh dâu rừng phần 2
,,,,,,,Công thức và hỗn hợp làm bánh táo phần 2
,,,,,,,Công thức và hỗn hợp làm bánh mứt dừa phần 2
,,,,,,,Câu hỏi trắc nghiệm 3: Về bánh Pie vỏ kép
,,,,,,Bài 4:Bánh tarts,
,,,,,,,Làm bánh kem rán loại lớn phần 1
,,,,,,,Công thức và hỗn hợp làm bánh hun khói cá hồi phần 2
,,,,,,,Công thức và hỗn hợp làm bánh nấm rau bina phần 2
,,,,,,,"Công thức và hỗn hợp làm bánh caramel hành, cà chua và phô mai dê phần 2"
,,,,,,,Công thức làm Bánh tart phô mai táo và dây chuyền sản xuất phần 2
,,,,,,,Câu hỏi trắc nghiệm 4: Tarts
,,,,,,Bài 5: Bánh pie đặc biệt ,
,,,,,,,27 cách làm bánh bắt chéo phần 1
,,,,,,,Công thức và hỗn hợp làm bánh pie bắt chéo sơ ri đen 
,,,,,,,Bánh brownie hồ đào phần 1 
,,,,,,,Bánh brownie hồ đào phần 2
,,,,,,,Bánh kem bí ngô tươi phần 1
,,,,,,,Bánh kem bí ngô tươi phần 2
,,,,,,,Câu hỏi trắc nghiệm 5: Bánh nướng đặc biệt
,,,,,,Bài 6: Bánh kem ,
,,,,,,,Làm bánh kem rán loại nhỏ phần 1 
,,,,,,,Công thức và hỗn hợp làm bánh tart phúc bồn tử
,,,,,,,Công thức và hỗn hợp làm bánh kem chanh loại nhỏ 
,,,,,,,Công thức và hỗn hợp làm bánh kem sô cô la loại nhỏ
,,,,,,,Làm bánh kem rán loại lớn phần 1
,,,,,,,Công thức và hỗn hợp bánh kem dừa
,,,,,,,Câu hỏi trắc nghiệm 6: Bánh kem
,,,,,,Bài 7: Bánh nướng nhồi thịt gà ,
,,,,,,,Làm nước gà phần 2
,,,,,,,Làm hỗn hợp bột phần 2
,,,,,,,Làm donut (bánh rán vòng) phần 3
,,,,,,,Làm sốt phần 4
,,,,,,,Lắp ráp & Nướng bánh phần 5
,,,,,,,Câu hỏi trắc nghiệm 7: Bánh nướng nhồi thịt gà
,,,,,,Xin chúc mừng,
