Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Ghi chú: Làm thế nào để chụp màn hình trên Mac hoặc PC,Text
,,,,,,,Thu thập hình ảnh và tạo ra moodboards,1:05
,,,,,,,Lập bản đồ tư duy để tạo ra ý tưởng,1:10
,,,,,,,"Cách khác để tạo ra ý tưởng
Xem trước ",1:33
,,,,,,Phần 5: Phác thảo ý tưởng,,
,,,,,,,Giới thiệu về phác thảo ý tưởng,0:35
,,,,,,,Thêm yếu tố vào một từ,3:35
,,,,,,,Làm thế nào để tạo ra một biểu tượng (bài tập thực hành),1:47
,,,,,,,Tạo ra một biểu tượng,1:34
,,,,,,,Bố trí văn bản logo phổ biến,0:58
,,,,,,,Sử dụng tên viết tắt của công ty,1:21
,,,,,,,Sử dụng các chữ cái đầu tiên của tên công ty,0:52
,,,,,,,Sử dụng các hình dạng hình học,1:07
,,,,,,,Tổng hợp phác thảo và lựa chọn những ý tưởng tốt nhất,0:47
,,,,,,Phần 6: Tất cả về phông chữ và Typography,,
,,,,,,,Giới thiệu về phông chữ,3:35
,,,,,,,Tìm phông chữ miễn phí cho mục đích thương mại,2:36
,,,,,,Phần 7: Khái niệm cơ bản về Adobe Illustrator ,,
,,,,,,,Khái niệm cơ bản về Adobe Illustrator,20:10
,,,,,,Phần 8: Làm logo đen trắng trong Illustrator,,
,,,,,,,Làm logo đen trắng trong Illustrator phần 1,13:43
,,,,,,,Làm logo đen trắng trong Illustrator phần 2,13:14
,,,,,,,Làm logo đen trắng trong Illustrator phần 3,18:58
,,,,,,,Tất cả các logo đen trắng,0:23
,,,,,,Phần 9: Làm logo màu,,
,,,,,,,Loại màu,4:05
,,,,,,,Đổ màu lên logo,5:26
,,,,,,,Tất cả các logo màu,1:49
,,,,,,Phần 10: Gửi thiết kế logo đến khách hàng,,
,,,,,,,Gửi logo cho khách hàng,1:20
,,,,,,,khách hàng phản hồi,5:40
,,,,,,,Ghi chú: Phản hồi thiết kế logo từ khách hàng,40.46 KB
,,,,,,Phần 11: Chỉnh sửa và hoàn thiện thiết kế Logo,,
,,,,,,,Chỉnh sửa và hoàn thiện,5:26
,,,,,,,Thiết kế định dạng logo khác nhau cho khách hàng,2:59
,,,,,,"Phần 12: Định giá, hóa đơn và Admin",,
,,,,,,,Định giá một dự án thiết kế logo,2:31
,,,,,,,Định giá mẫu thiết kế logo và tiền thù lao,89.38 KB
,,,,,,,Hóa đơn mẫu thiết kế logo ,63.97 KB
,,,,,,Phần 13: Cảm ơn bạn và hơn thế nữa,,
,,,,,,,Cảm ơn bạn và hơn thế nữa,0:20
,,,,,,Phần 14: Downloads và Briefs Sample,,
,,,,,,,Định vị loại logo (Arial),159.52 KB
,,,,,,,Yêu cầu thiết kế mẫu logo giả định cho một công ty ứng dụng,46.62 KB
,,,,,,,Yêu cầu thiết kế mẫu logo giả định cho một công ty thức ăn vật nuôi,46.29 KB
,,,,,,,Thêm video cho việc lấy ý tưởng  (dựa trên các câu hỏi của người học),Text
