Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Độ tương phản và tính đồng nhất,7:16
,,,,,,,Tính nhất quán,10:24
,,,,,,,Màu sắc và phông chữ,15:03
,,,,,,,Khái niệm cơ bản về bề mặt,2:43
,,,,,,,Bài tập phòng thí nghiệm về bề mặt,2:32
,,,,,,Phần 8: Khái niệm cơ bản và tài nguyên,,
,,,,,,,Những điều cần nhớ,3:16
,,,,,,,Công cụ của thương mại,18:17
,,,,,,,Wireframing và phần mềm prototyping,5:25
,,,,,,,Phần mềm thử A/B,5:01
,,,,,,,Phần mềm kiểm soát kho nội dung,7:35
,,,,,,,Kiểm tra tài khoản / Phần mềm phản hồi,8:10
,,,,,,,Phần mềm phân tích,8:05
,,,,,,,Trang web giáo dục/thông tin,
