Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,Phần 4: Học bằng cách thiết kế,,
,,,,,,,Cập nhật: Thay đổi Preset Artboard,2:48
,,,,,,,File Acorn Screen Sketch,Văn bản
,,,,,,,Bắt đầu màn hình ứng dụng đầu tiên ,14:15
,,,,,,,Sự phân trang,10:39
,,,,,,,Kết thúc Top Content,5:55
,,,,,,,Bắt đầu đồ thị,8:08
,,,,,,,Thêm đường đứt nét & các giá trị,18:51
,,,,,,,Thách thức 1,1:34
,,,,,,,Giải pháp 1,10:01
,,,,,,,Các đường cho biểu đồ của chúng ta,9:21
,,,,,,,Hiệu ứng Cool ,9:12
,,,,,,,Đóng màn hình,6:18
,,,,,,Phần 5: Sketch School 101,,
,,,,,,,Chào mừng bạn đến Sketch School,2:59
,,,,,,,"Giao diện
Xem trước ",6:25
,,,,,,,Tất cả về lớp (Layer),11:08
,,,,,,,Giới thiệu về Shapes,1:51
,,,,,,,Chỉnh sửa Shapes,6:46
,,,,,,,"Thuật toán Boole
Xem trước ",4:03
,,,,,,,"Transform, Masking, Scissors, Rotate Copies, Pencil",6:26
,,,,,,,Giới thiệu về Text và Text Rendering,8:12
,,,,,,,Shared Text Styles,2:25
,,,,,,,Text Path & Outline,2:21
,,,,,,,Ảnh Bitmap,5:03
,,,,,,,Biểu tượng,6:23
,,,,,,,Giới thiệu về Styling,4:46
,,,,,,,Styling,9:43
,,,,,,,"Tổ chức: Groups, artboards, & Pages",9:34
,,,,,,,Cài đặt Canvas,9:52
,,,,,,,Xuất sản phẩm thiết kế,10:34
,,,,,,Phần 6: UX School 101,,
,,,,,,,"UX (Trải nghiệm người dùng) là gì?
Xem trước",5:24
,,,,,,,UX bắt đầu ở đâu,5:14
,,,,,,,Khả năng sử dụng,3:49
,,,,,,,thiết kế người dùng là trọng tâm,3:59
,,,,,,,10 nguyên tắc của thiết kế mà người dùng là trọng tâm,7:32
,,,,,,,Nhu cầu kinh doanh so với nhu cầu người dùng,3:24
,,,,,,,Phẩm chất của một nhà thiết kế UX tốt ,6:32
,,,,,,,Tiến trình thiết kế UX,3:10
,,,,,,Phần 7: UX School Ứng dụng: Khám phá App của chúng tôi,,
,,,,,,,"Công việc của bạn
Xem trước ",1:00
,,,,,,,TÌm hiểu mục tiêu người dùng,5:11
,,,,,,,Thông tin thêm về người dùng,1:52
,,,,,,,20 phương pháp nghiên cứu UX,8:49
,,,,,,,tạo Personas,7:03
,,,,,,,Biểu đồ người dùng,5:03
,,,,,,,vẽ Mockups,4:27
,,,,,,,Mockups Trong Sketch,7:23
,,,,,,Phần 8: Gói biểu tượng (Icon Pack),,
,,,,,,,Biểu tượng Video Camera ,2:17
,,,,,,,Biểu tượng Location ,2:18
,,,,,,,Biểu tượng biểu đồ hình tròn (Pie Chart),3:39
,,,,,,,Biểu tượng nốt nhạc (Music Note),3:11
,,,,,,,Biểu tượng dòng Analytics ,1:45
,,,,,,,Biểu tượng nửa mặt trăng,2:14
,,,,,,,"Biểu tượng mặt trời
Xem trước ",3:13
,,,,,,,Biểu tượng Tóm tắt Giấy ,6:44
,,,,,,,Biểu tượng đồng hồ,3:06
,,,,,,,Biểu tượng Hộp màu  (color Box),3:14
,,,,,,,Biểu tượng bánh răng,3:04
,,,,,,,Biểu tượng Thách thức,0:49
,,,,,,,Giải pháp Thách thức,5:33
,,,,,,Phần 9: Thiết kế Ứng dụng,,
,,,,,,,Trải nghiệm Màn Hình 1,18:07
,,,,,,,Trải nghiệm Màn Hình 2,11:14
,,,,,,,Trải nghiệm Màn Hình 3,2:11
,,,,,,,Trải nghiệm Màn Hình cuối,9:31
,,,,,,,Tùy chỉnh Màn hình,15:55
,,,,,,,Thiết lập,4:31
,,,,,,,Mặc định/Trang chủ,18:10
,,,,,,,Thêm vào trang chủ,13:40
,,,,,,,Hoàn thiện trang chủ,6:28
,,,,,,,Thiết lập màn hình,10:40
,,,,,,,Hoàn thiện thiết lập màn hình,7:01
,,,,,,,Thiết lập màn hình (2),4:23
,,,,,,,Màn hình Báo cá nhân,4:24
,,,,,,Phần 10: Prototyping với Invision,,
,,,,,,,"Giới thiệu về inVision
Xem trước",4:40
,,,,,,,Chuẩn bị cho việc đăng lên,4:09
,,,,,,,Prototyping bản tải lên của chúng ta,14:20
,,,,,,,Một chút thay đổi,4:08
,,,,,,Phần 11: Thực hiện thiết kế vào Xcode cùng Rob Percival,,
,,,,,,,Băt đầu Xcode,1:07
,,,,,,,Thiết lập một dự án,1:38
,,,,,,,Nút bấm đầu tiên của chúng ta,4:00
,,,,,,,Nhập ảnh,2:43
,,,,,,,Các nhãn như trường văn bản,2:32
,,,,,,,Hoàn thiện màn hình,3:52
,,,,,,Phần 12: TÀI LIỆU BỔ SUNG: Thiết kế trang web và sử dụng Boootstrap cùng Victor Bastos,,
,,,,,,,Tài liệu phác thảo thiết kế trang web,Text
,,,,,,,Bổ sung: Giới thiệu trang web Bootstrap,6:02
,,,,,,,Bổ sung: Trang web Bootstrap phần 1,16:35
,,,,,,,Bổ sung: Trang web Bootstrap phần 2,15:19
,,,,,,,Bổ sung: Trang web Bootstrap phần 3,16:46
,,,,,,,Bổ sung: Trang web Bootstrap phần 4,17:18
,,,,,,,Bổ sung: Trang web Bootstrap phần 5,7:58
,,,,,,Phần 13: Tiếp tục thêm nội dung,,
,,,,,,,Tiếp tục thêm nội dung,Text
