Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Làm thế nào để nhận dạng một phông chữ,4:47
,,,,,,,Pha trộn phông chữ,5:33
,,,,,,,"Những kỹ thuật, thủ thuật và lời khuyên về Typography",12:41
,,,,,,Phần 6: Dự án,,
,,,,,,,Giới thiệu và mô tả dự án,9:32
,,,,,,,Thiết lập cách bố trí,4:12
,,,,,,,Đưa ra các nội dung,6:26
,,,,,,,Tạo các tiêu đề,16:02
,,,,,,,Tạo vùng hero,11:21
,,,,,,,Tạo các khu vực nội dung,12:49
,,,,,,,Tạo chứng thực và khu vực chân trang,12:04
,,,,,,,Kết luận,3:45
,,,,,,Phần 7: Dự án thiết kế phẳng,,
,,,,,,,"Thiết kế phẳng: Định nghĩa, các ví dụ, hiệu ứng chuyển động phẳng, lịch sử, skeuomorphism.",10:25
,,,,,,,Tránh những sai lầm về thiết kế phẳng,5:35
,,,,,,,Xây dựng một trang web phẳng - Giới thiệu,1:28
,,,,,,,Xây dựng một trang web phẳng - Tạo tiêu đề,6:46
,,,,,,,Xây dựng một trang web phẳng - Tạo điểm trung tâm,9:23
,,,,,,,Xây dựng một trang web phẳng - Chứng thực và CTA (Call To Action - Kêu gọi hành động),9:06
,,,,,,,Xây dựng một trang web phẳng - Hoàn thiện với chân trang,4:41
,,,,,,Phần 8: Kết luận cuối cùng,,
,,,,,,,Kết luận cuối cùng,1:11
,,,,,,Phần 9: Tải toàn bộ các tài nguyên ở đây,,
,,,,,,,Tải toàn bộ các tài nguyên ở đây,Văn bản
,,,,,,,"Xem trước các tài nguyên
Xem trước",1 slide
