name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
,,,,,,,Dâng hiến sự tồn tại của mình,10:50
,,,,,,,Những lời trú mang lại hạnh phúc,5:38
,,,,,,,Vượt lên mọi định kiến,13:42
,,,,,,,Sự sống và cái chết hiện diện trong từng phút giây,5:49
,,,,,,,Đau khổ và Hạnh phúc,8:26
,,,,,,,Con đường dẫn đến khổ đau và con đường đi đến hạnh phúc,6:05
,,,,,,,Tam bảo,15:21
,,,,,,,Tạo hóa của Tương tức,4:37
,,,,,,,Bạn là kết quả từ những hành động của mình,12:15
,,,,,,,Các yếu tố trong việc tu tập Chánh niệm,30:22:00
,,,,,,,Buổi giảng trực tiếp với sư cô Lang Nghiêm,1:06:10
,,,,,,Phần 3: Thức tỉnh với Chánh niệm,,
,,,,,,,Nhập môn về Thưc tỉnh với CHánh Niệm,Văn bản
,,,,,,,Hưỡng dẫn thiền tịnh,5:31
,,,,,,,Mang yên lành trở về,10:59
,,,,,,,Chúng ta đều là sự tiếp diễn,11:05
,,,,,,,Đi từng bước một,13:36
,,,,,,,Điều kỳ diệu của việc Đi bộ,5:15
,,,,,,,Năng Lượng Tập hợp của Chánh niệm,10:17
,,,,,,"Phần 4: Điều hòa tình cảm và ""Hành""",,
,,,,,,,"Nhập môn Điều hòa tình cảm và thiết lập""Hành""",Văn bản
,,,,,,,Nhập đoàn Tăng giả,13:08
,,,,,,,Điều hòa những cảm xúc mạnh mẽ,12:08
,,,,,,,"Cõi của ""Hành""",8:03
,,,,,,,Giải phóng bản thân khỏi những xung đột,17:02
,,,,,,Phần 5: Chánh niệm trong các mối quan hệ,,
,,,,,,,Nhập môn về Chánh niệm trong các mối quan hệ,Văn bản
,,,,,,,Hướng dẫn thiền định,4:46
,,,,,,,Cách thức giải tỏa,6:45
,,,,,,,Yêu thương không phân biệt,12:53
,,,,,,,Biết yêu là biết tỉnh thức,13:20
,,,,,,,Điều hòa cơn giận,12:55
,,,,,,Phần 6: Vượt trên định kiến,,
,,,,,,,Nhập môn Vượt trên định kiến,Văn bản
,,,,,,,Phương thức tập trung tâm trí,22:29
,,,,,,,Tục đế và Chân đế,5:02
,,,,,,,Vô khứ vô lai,14:04
,,,,,,,Loai trừ tạp niệm,12:44
,,,,,,,Buổi giảng trực tiếp với sư thầy Pháp Hải,1:03:14
,,,,,,Phần 7: Nuôi dưỡng hạt giống Vị tha,,
,,,,,,,Giới thiệu về Nuôi dưỡng hạt giống Vị tha,Văn bản
,,,,,,,Hướng dẫn thiền định,8:12
,,,,,,,Tin tưởng Phật tính trong tâm bạn,18:50
,,,,,,,5 bài tập Chánh niệm,3 trang
,,,,,,,Mang đến hòa bình cho thế gian,16:31
,,,,,,,Thực hành Nghe ngấm,10:52
,,,,,,Phần 8: Sự giải thoát thông qua Chánh niệm,,
,,,,,,,giới thiệu về Sự giải thoát thông qua Chánh niệm,Văn bản
,,,,,,,Tứ thực,21:37
,,,,,,,Bước vào Giải thoát Môn,16:32
,,,,,,,Chạm đến Niết Bàn,17:31
