Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
,,,,,,,Sự hổ thẹn và tội lỗi.,14:37
,,,,,,,Sự bẽ mặt và xấu hổ,10:49
,,,,,,,Sức mạnh của việc làm chủ câu chuyện đời chúng ta,11:05
,,,,,,,Bốn yếu tố của việc giải loại bỏ sự hổ thẹn.,11:02
,,,,,,,Phản ứng với sự hổ thẹn,8:13
,,,,,,Phần 3: Sự đồng cảm và Dễ bị tổn thương.,,
,,,,,,,Xem lại những yếu tố loại bỏ sự hổ thẹn,9:07
,,,,,,,4 phẩm chất tạo nên sự đồng cảm,18:44
,,,,,,,Đồng cảm vs Thông cảm.,11:55
,,,,,,,Những truyền thuyết xung quanh việc dễ bị tổn thương.,10:54
,,,,,,,Trở nên không hoàn hảo với người khác.,15:30
,,,,,,,Từ phản bội tới tin tưởng.,6:44
,,,,,,Phần 4: Vũ khĩ tổn thương.,,
,,,,,,,Linh cảm về niềm vui,15:08
,,,,,,,Thực hành sự biết ơn,13:34
,,,,,,,Chủ nghĩa hoàn hảo: Chiếc khiên nặng 20 tấn,8:22
,,,,,,,Làm thế nào và tại sao chúng ta lại tê liệt.,14:18
,,,,,,,Thấu kính của Nạn nhân hoặc Ông hoàng,7:51
,,,,,,,Những kệ nhỏ trong chiếc khiên,20:35
,,,,,,Phần 5: Chỉ dẫn từ 1 đến 6,,
,,,,,,,Chỉ dẫn 1: Tu dưỡng tính chân thực,16:58
,,,,,,,Chỉ dẫn 2: Tu dưỡng đam mê ,10:01
,,,,,,,Chỉ dẫn 3: Tu dưỡng tâm hồn yên bình,12:27
,,,,,,,Chỉ dẫn 4 & 5,14:20
,,,,,,,Chỉ dẫn 6: rèn luyện khả năng sáng tạo,14:31
,,,,,,Phần 6: Chỉ dẫn 7–10,,
,,,,,,,Chỉ dẫn 7: Rèn luyện việc vui chơi và nghỉ ngơi,31:24:00
,,,,,,,Chỉ dẫn 8: Rèn luyện sự bình tĩnh và Điềm đạm,26:12:00
,,,,,,,Chỉ dẫn 9: Rèn luyện cách làm những việc có ý nghĩa,9:13
,,,,,,,"Chỉ dẫn 10: cười đùa, hát hò và nhảy múa",13:51
,,,,,,,Liều lĩnh ,7:58
,,,,,,Phần 7: Tặng kèm : buổi học trực tiếp với tiến sĩ Brene Brown,,
,,,,,,,Phần học trực tuyến #1,1:01:04
,,,,,,,Phần học trực tuyến #2,58:34:00
