name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
,,,,,,,nâng cao phạm vi của mắt: đảo mắt rộng hơn,1:54
,,,,,,,các cách đảo mắt hữu hiệu khác,1:36
,,,,,,Phần 6: Hãy Tăng tốc mọi thứ lên,,
,,,,,,,Luyện tập nhanh với thẻ học,1:49
,,,,,,,Luyện tập với tốc độ đọc mà bạn muốn,6:39
,,,,,,,mẹo: đánh lừa não bộ để nâng cao tốc đọ,1:37
,,,,,,,tạo ra điểm nổi bật,2:43
,,,,,,,chúng ta đã hiểu về đọc bằng mắt?,7 câu hỏi 
,,,,,,,tiếp tục training,1:27
,,,,,,,bài kiểm tra đọc nhanh và đọc hiểu - phần 3,8 câu hỏi
,,,,,,Phần 7: Hệ thống Sáng Tạo và Duy trì trí nhớ lâu dài,,
,,,,,,,sự nhận thức sai phần 5,3 câu hỏi
,,,,,,,sơ đồ tư duy,1:26
,,,,,,,các bộ phận ghi nhớ (mới được nâng cấp và mở rộng),8:31
,,,,,,,đánh thứ tự hệ thống ghi nhớ,2:52
,,,,,,,sự vụng về,1:45
,,,,,,,bạn đã nhớ những điểm mẫu chốt về ghi nhớ chưa?,3 câu hỏi
,,,,,,Phần 8: Thói quen học tập tốt,,
,,,,,,,sự nhận thức sai phần 6,4 câu hỏi
,,,,,,,ngủ và học,2:09
,,,,,,,sự cần thiết về học về môi trường,3:01
,,,,,,,sử dụng phần mềm để giúp cho trí nhớ,1:58
,,,,,,,môi trường của bạn có phù hợp để học?,4 câu hỏi
,,,,,,Phần 9: Áp dụng tất cả các kỹ năng của bạn vào mọi việc,,
,,,,,,,sự nhận thức sai phần 7,4 câu hỏi
,,,,,,,kết nối các kĩ năng: những tài liệu và sách vở nặng nề,1:31
,,,,,,,kết nối các kĩ năng: học ngoại ngữ,8:22
,,,,,,,kết nối các kĩ năng: không bao giờ quên mặt hoặc tên,2:02
,,,,,,,video hoặc bài nghe về superlearning,2:04
,,,,,,,"những sách và bài tập cần thiết, ôn tập",1 trang
,,,,,,,bạn có thể áp dụng những kĩ năng mới cho những thứ khác ngoài đọc chứ?,5 câu hỏi
,,,,,,,cảm ơn và chúc mừng,1:01
