,,,,Tôi sẽ nhận được gì từ khóa học này?,Đối tượng mục tiêu của khóa học này là gì?,,,
,,,,,,,"9. Thủ thuật tăng hiệu quả sử dụng Gmail
Trong bài giảng này, tôi sẽ cho bạn thấy cách sử dụng Gmail nhanh chóng và hiệu quả. Chúng ta sẽ học về các phím tắt trong Gmail, làm thế nào để tùy biến các phím tắt của riêng bạn và làm thế nào để thiết lập một vài tính năng nâng cao bằng cài đặt Gmail và Labs
",10:43
,,,,,,,"10. Chinh phục Google Chrome
Trong bài này, chúng ta sẽ tìm hiểu cách sử dụng Google Chrome nhanh chóng và hiệu quả. Tôi sẽ chỉ cho bạn cách làm chủ một trong những công cụ phổ được sử dụng biến nhất - trình duyệt web",14:46
,,,,,,,"11. Sử dụng công cụ tìm kiếm để làm việc nhanh hơn
Bài giảng này bao gồm cách để sử dụng Finder của Apple để nâng cao hiệu suất. Mặc dù Finder được coi là tiêu chuẩn trên mọi máy tính Mac, đa số rất ít  sử dụng công cụ mạnh mẽ này.",4:33
,,,,,,,"12. Các công cụ hữu dụng và hiệu quả khác
Trong bài này, tôi sẽ chỉ cho bạn một vài trong số những công cụ hiệu quả của tôi và gợi ý cho bạn cách chính xác để sử dụng chúng đúng cách trên máy tính.",8:31
,,,,,,,"13. Kết luận
Vậy là hết rồi! Nếu bạn thích khóa học, hãy để lại một đánh giá tốt nhé, cảm ơn.",1:10
,,,,,,Phần 3: Các nguồn tài liệu,,
,,,,,,,14. Nguồn tài liệu về OSX,9 trang
,,,,,,,14. Nguồn tài liệu cho phím tắt cơ bản trong Mac,
,,,,,,,15. Phím tắt cho Mac Mail,6 trang
,,,,,,,15. Nguồn tài liệu cho Mac Mail,
,,,,,,,16. Phím tắt cho Google Docs,6 trang
,,,,,,,16. Nguồn tài liệu cho Google Docs,
,,,,,,,17. Phím tắt cho Excel,7 trang
,,,,,,,17. Nguồn tài liệu cho Excel,
,,,,,,,18. Phím tắt cho Word,7 trang
,,,,,,,18. Nguồn tài liệu cho Word,
,,,,,,,19. Phím tắt Oulook,6 trang
,,,,,,,19. Nguồn tài liệu cho Oulook,
